,id,device_id,active_power,direct_power,charge_capacity,date_time,T,U,Ff,RRR,DD_WE,DD_NS,Po(p),POA
213,23906,9,79.0,80.3,538.3,2023-09-19 14:00:00,32.3,61.0,2.0,0,1,-1,999.04,798.0138131834665
214,23907,10,72.48,73.72,424.7,2023-09-19 14:00:00,32.3,61.0,2.0,0,1,-1,999.04,798.0138131834665
215,23993,6,12.81,13.07,598.1,2023-09-19 17:00:00,30.0,74.0,3.0,0,1,-1,998.77,121.71847867523329
216,23994,7,11.43,11.69,607.0,2023-09-19 17:00:00,30.0,74.0,3.0,0,1,-1,998.77,121.71847867523329
217,23995,8,5.29,5.59,600.6,2023-09-19 17:00:00,30.0,74.0,3.0,0,1,-1,998.77,121.71847867523329
218,23996,9,9.28,9.6,667.3,2023-09-19 17:00:00,30.0,74.0,3.0,0,1,-1,998.77,121.71847867523329
219,23997,10,19.34,19.62,561.5,2023-09-19 17:00:00,30.0,74.0,3.0,0,1,-1,998.77,121.71847867523329
240,24443,6,37.32,37.85,31.0,2023-09-20 08:00:00,28.2,80.0,1.0,0,-1,0,999.3,446.8834692058498
241,24444,7,40.44,40.98,30.7,2023-09-20 08:00:00,28.2,80.0,1.0,0,-1,0,999.3,446.8834692058498
242,24445,8,40.37,40.92,31.3,2023-09-20 08:00:00,28.2,80.0,1.0,0,-1,0,999.3,446.8834692058498
243,24446,9,48.48,49.13,38.7,2023-09-20 08:00:00,28.2,80.0,1.0,0,-1,0,999.3,446.8834692058498
244,24447,10,31.1,31.55,25.0,2023-09-20 08:00:00,28.2,80.0,1.0,0,-1,0,999.3,446.8834692058498
245,24533,6,66.13,67.19,210.1,2023-09-20 11:00:00,31.5,61.0,1.0,0,-1,-1,998.24,947.6550326034292
246,24534,7,64.86,65.88,211.3,2023-09-20 11:00:00,31.5,61.0,1.0,0,-1,-1,998.24,947.6550326034292
247,24535,8,66.8,67.85,213.8,2023-09-20 11:00:00,31.5,61.0,1.0,0,-1,-1,998.24,947.6550326034292
248,24536,9,65.82,66.86,247.6,2023-09-20 11:00:00,31.5,61.0,1.0,0,-1,-1,998.24,947.6550326034292
249,24537,10,58.77,59.68,183.8,2023-09-20 11:00:00,31.5,61.0,1.0,0,-1,-1,998.24,947.6550326034292
250,24623,6,64.69,65.65,416.1,2023-09-20 14:00:00,32.0,64.0,3.0,0,1,-1,996.13,797.2601399527896
251,24624,7,64.11,65.09,424.1,2023-09-20 14:00:00,32.0,64.0,3.0,0,1,-1,996.13,797.2601399527896
252,24625,8,64.89,65.88,424.2,2023-09-20 14:00:00,32.0,64.0,3.0,0,1,-1,996.13,797.2601399527896
253,24626,9,68.02,69.1,478.7,2023-09-20 14:00:00,32.0,64.0,3.0,0,1,-1,996.13,797.2601399527896
254,24627,10,63.67,64.69,380.5,2023-09-20 14:00:00,32.0,64.0,3.0,0,1,-1,996.13,797.2601399527896
255,24713,6,8.74,9.0,527.7,2023-09-20 17:00:00,29.7,78.0,3.0,0,1,0,996.39,118.80590685131745
256,24714,7,9.03,9.47,534.2,2023-09-20 17:00:00,29.7,78.0,3.0,0,1,0,996.39,118.80590685131745
257,24715,8,8.81,9.08,534.3,2023-09-20 17:00:00,29.7,78.0,3.0,0,1,0,996.39,118.80590685131745
258,24716,9,9.33,9.77,591.8,2023-09-20 17:00:00,29.7,78.0,3.0,0,1,0,996.39,118.80590685131745
259,24717,10,9.46,9.79,494.7,2023-09-20 17:00:00,29.7,78.0,3.0,0,1,0,996.39,118.80590685131745
280,25163,6,42.61,43.24,29.8,2023-09-21 08:00:00,29.4,78.0,1.0,0,1,1,999.56,447.77781053962167
281,25164,7,42.38,42.97,28.8,2023-09-21 08:00:00,29.4,78.0,1.0,0,1,1,999.56,447.77781053962167
282,25165,8,43.19,43.84,30.3,2023-09-21 08:00:00,29.4,78.0,1.0,0,1,1,999.56,447.77781053962167
283,25166,9,40.4,40.99,33.0,2023-09-21 08:00:00,29.4,78.0,1.0,0,1,1,999.56,447.77781053962167
284,25167,10,35.5,36.03,24.6,2023-09-21 08:00:00,29.4,78.0,1.0,0,1,1,999.56,447.77781053962167
285,25253,6,79.57,80.95,224.5,2023-09-21 11:00:00,32.6,63.0,2.0,0,1,0,999.43,948.4534256244754
286,25254,7,82.7,84.24,230.3,2023-09-21 11:00:00,32.6,63.0,2.0,0,1,0,999.43,948.4534256244754
287,25255,8,80.49,81.9,229.5,2023-09-21 11:00:00,32.6,63.0,2.0,0,1,0,999.43,948.4534256244754
288,25256,9,90.55,92.18,262.9,2023-09-21 11:00:00,32.6,63.0,2.0,0,1,0,999.43,948.4534256244754
289,25257,10,76.09,77.4,201.3,2023-09-21 11:00:00,32.6,63.0,2.0,0,1,0,999.43,948.4534256244754
290,25343,6,67.84,68.95,465.9,2023-09-21 14:00:00,32.6,63.0,4.0,0,1,-1,997.58,796.4665035441033
291,25344,7,69.37,70.53,472.9,2023-09-21 14:00:00,32.6,63.0,4.0,0,1,-1,997.58,796.4665035441033
292,25345,8,70.18,71.34,475.7,2023-09-21 14:00:00,32.6,63.0,4.0,0,1,-1,997.58,796.4665035441033
293,25346,9,73.18,74.4,524.8,2023-09-21 14:00:00,32.6,63.0,4.0,0,1,-1,997.58,796.4665035441033
294,25347,10,67.3,68.45,427.3,2023-09-21 14:00:00,32.6,63.0,4.0,0,1,-1,997.58,796.4665035441033
295,25433,6,4.87,5.2,577.4,2023-09-21 17:00:00,30.3,74.0,4.0,0,1,0,998.24,115.87071642757991
296,25434,7,4.88,5.13,587.1,2023-09-21 17:00:00,30.3,74.0,4.0,0,1,0,998.24,115.87071642757991
297,25435,8,5.76,6.14,586.8,2023-09-21 17:00:00,30.3,74.0,4.0,0,1,0,998.24,115.87071642757991
298,25436,9,5.6,5.88,641.2,2023-09-21 17:00:00,30.3,74.0,4.0,0,1,0,998.24,115.87071642757991
299,25437,10,5.13,5.43,542.8,2023-09-21 17:00:00,30.3,74.0,4.0,0,1,0,998.24,115.87071642757991
320,25883,6,41.51,42.05,28.2,2023-09-22 08:00:00,25.4,95.0,0.0,0.7,-1,-1,1000.75,448.64998639943224
321,25884,7,44.82,45.5,28.8,2023-09-22 08:00:00,25.4,95.0,0.0,0.7,-1,-1,1000.75,448.64998639943224
322,25885,8,45.2,45.98,30.1,2023-09-22 08:00:00,25.4,95.0,0.0,0.7,-1,-1,1000.75,448.64998639943224
323,25886,9,51.87,52.94,34.1,2023-09-22 08:00:00,25.4,95.0,0.0,0.7,-1,-1,1000.75,448.64998639943224
324,25887,10,37.28,37.86,25.0,2023-09-22 08:00:00,25.4,95.0,0.0,0.7,-1,-1,1000.75,448.64998639943224
325,25973,6,41.65,42.22,133.8,2023-09-22 11:00:00,25.6,96.0,1.0,1,-1,0,1001.15,949.206758420557
326,25974,7,40.6,41.16,134.7,2023-09-22 11:00:00,25.6,96.0,1.0,1,-1,0,1001.15,949.206758420557
327,25975,8,43.32,43.94,135.9,2023-09-22 11:00:00,25.6,96.0,1.0,1,-1,0,1001.15,949.206758420557
328,25976,9,41.66,42.24,149.8,2023-09-22 11:00:00,25.6,96.0,1.0,1,-1,0,1001.15,949.206758420557
329,25977,10,40.57,41.15,124.1,2023-09-22 11:00:00,25.6,96.0,1.0,1,-1,0,1001.15,949.206758420557
330,26063,6,30.39,30.84,245.5,2023-09-22 14:00:00,28.8,79.0,1.0,0.5,-1,-1,999.04,795.63393122521
331,26064,7,29.63,30.05,247.3,2023-09-22 14:00:00,28.8,79.0,1.0,0.5,-1,-1,999.04,795.63393122521
332,26065,8,27.97,28.38,246.9,2023-09-22 14:00:00,28.8,79.0,1.0,0.5,-1,-1,999.04,795.63393122521
333,26066,9,29.71,30.14,271.0,2023-09-22 14:00:00,28.8,79.0,1.0,0.5,-1,-1,999.04,795.63393122521
334,26067,10,31.18,31.63,233.9,2023-09-22 14:00:00,28.8,79.0,1.0,0.5,-1,-1,999.04,795.63393122521
335,26153,6,8.45,8.82,307.5,2023-09-22 17:00:00,27.9,79.0,5.0,0,1,0,999.56,112.91480786710048
336,26154,7,8.5,8.75,309.8,2023-09-22 17:00:00,27.9,79.0,5.0,0,1,0,999.56,112.91480786710048
337,26155,8,8.14,8.41,308.1,2023-09-22 17:00:00,27.9,79.0,5.0,0,1,0,999.56,112.91480786710048
338,26156,9,8.67,9.03,336.9,2023-09-22 17:00:00,27.9,79.0,5.0,0,1,0,999.56,112.91480786710048
339,26157,10,8.75,9.09,295.4,2023-09-22 17:00:00,27.9,79.0,5.0,0,1,0,999.56,112.91480786710048
360,26603,6,43.33,43.9,16.0,2023-09-23 08:00:00,25.1,93.0,1.0,0.2,-1,1,1001.94,449.49882753788563
361,26604,7,45.15,45.78,15.4,2023-09-23 08:00:00,25.1,93.0,1.0,0.2,-1,1,1001.94,449.49882753788563
362,26605,8,45.42,46.03,16.1,2023-09-23 08:00:00,25.1,93.0,1.0,0.2,-1,1,1001.94,449.49882753788563
363,26606,9,52.59,53.5,18.3,2023-09-23 08:00:00,25.1,93.0,1.0,0.2,-1,1,1001.94,449.49882753788563
364,26607,10,39.63,40.16,15.2,2023-09-23 08:00:00,25.1,93.0,1.0,0.2,-1,1,1001.94,449.49882753788563
365,26693,6,13.77,14.03,148.7,2023-09-23 11:00:00,28.0,79.0,2.0,0.3,1,1,1001.55,949.9146745891429
366,26694,7,13.34,13.75,151.0,2023-09-23 11:00:00,28.0,79.0,2.0,0.3,1,1,1001.55,949.9146745891429
367,26695,8,13.45,13.73,152.0,2023-09-23 11:00:00,28.0,79.0,2.0,0.3,1,1,1001.55,949.9146745891429
368,26696,9,20.23,20.73,186.6,2023-09-23 11:00:00,28.0,79.0,2.0,0.3,1,1,1001.55,949.9146745891429
369,26697,10,13.89,14.15,137.3,2023-09-23 11:00:00,28.0,79.0,2.0,0.3,1,1,1001.55,949.9146745891429
370,26783,6,14.9,15.18,219.4,2023-09-23 14:00:00,27.7,79.0,4.0,0.2,1,1,999.96,794.7635483128192
371,26784,7,15.49,15.82,222.5,2023-09-23 14:00:00,27.7,79.0,4.0,0.2,1,1,999.96,794.7635483128192
372,26785,8,15.49,15.78,223.2,2023-09-23 14:00:00,27.7,79.0,4.0,0.2,1,1,999.96,794.7635483128192
373,26786,9,16.33,16.69,267.5,2023-09-23 14:00:00,27.7,79.0,4.0,0.2,1,1,999.96,794.7635483128192
374,26787,10,15.66,15.95,207.0,2023-09-23 14:00:00,27.7,79.0,4.0,0.2,1,1,999.96,794.7635483128192
375,26873,6,3.05,3.36,239.4,2023-09-23 17:00:00,24.7,95.0,3.0,2,1,1,1000.36,109.9401964311453
376,26874,7,3.07,3.39,242.9,2023-09-23 17:00:00,24.7,95.0,3.0,2,1,1,1000.36,109.9401964311453
377,26875,8,3.03,3.46,243.2,2023-09-23 17:00:00,24.7,95.0,3.0,2,1,1,1000.36,109.9401964311453
378,26876,9,3.51,3.86,290.8,2023-09-23 17:00:00,24.7,95.0,3.0,2,1,1,1000.36,109.9401964311453
379,26877,10,3.1,3.37,227.0,2023-09-23 17:00:00,24.7,95.0,3.0,2,1,1,1000.36,109.9401964311453
400,27323,6,36.81,37.32,31.9,2023-09-24 08:00:00,27.8,80.0,1.0,0,1,0,1001.28,450.3231217170244
401,27324,7,37.17,37.64,32.4,2023-09-24 08:00:00,27.8,80.0,1.0,0,1,0,1001.28,450.3231217170244
402,27325,8,37.11,37.57,33.5,2023-09-24 08:00:00,27.8,80.0,1.0,0,1,0,1001.28,450.3231217170244
403,27326,9,53.1,53.83,49.4,2023-09-24 08:00:00,27.8,80.0,1.0,0,1,0,1001.28,450.3231217170244
404,27327,10,29.79,30.22,24.8,2023-09-24 08:00:00,27.8,80.0,1.0,0,1,0,1001.28,450.3231217170244
405,27413,6,67.98,69.07,208.1,2023-09-24 11:00:00,31.4,65.0,1.0,0,0,-1,1000.62,950.576860281705
406,27414,7,69.13,70.25,211.2,2023-09-24 11:00:00,31.4,65.0,1.0,0,0,-1,1000.62,950.576860281705
407,27415,8,68.81,69.92,211.4,2023-09-24 11:00:00,31.4,65.0,1.0,0,0,-1,1000.62,950.576860281705
408,27416,9,84.56,85.97,289.2,2023-09-24 11:00:00,31.4,65.0,1.0,0,0,-1,1000.62,950.576860281705
409,27417,10,61.28,62.26,182.4,2023-09-24 11:00:00,31.4,65.0,1.0,0,0,-1,1000.62,950.576860281705
410,27503,6,61.86,63.0,408.2,2023-09-24 14:00:00,32.1,61.0,2.0,0,1,-1,998.37,793.8565844871467
411,27504,7,63.4,64.31,414.9,2023-09-24 14:00:00,32.1,61.0,2.0,0,1,-1,998.37,793.8565844871467
412,27505,8,63.18,64.22,413.9,2023-09-24 14:00:00,32.1,61.0,2.0,0,1,-1,998.37,793.8565844871467
413,27506,9,76.03,77.28,536.5,2023-09-24 14:00:00,32.1,61.0,2.0,0,1,-1,998.37,793.8565844871467
414,27507,10,61.23,62.15,369.5,2023-09-24 14:00:00,32.1,61.0,2.0,0,1,-1,998.37,793.8565844871467
415,27593,6,6.11,6.42,517.5,2023-09-24 17:00:00,29.5,74.0,2.0,0,1,0,998.64,106.94902351863279
416,27594,7,5.84,6.12,526.3,2023-09-24 17:00:00,29.5,74.0,2.0,0,1,0,998.64,106.94902351863279
417,27595,8,3.79,4.1,514.2,2023-09-24 17:00:00,29.5,74.0,2.0,0,1,0,998.64,106.94902351863279
