,id,device_id,gather_time,active_power,direct_power,charge_capacity,date_time
98,19098,6,2023-09-14 10:00:15,43.7,44.41,121.0,2023-09-14 10:00:00
99,19099,7,2023-09-14 10:00:15,38.65,39.37,120.3,2023-09-14 10:00:00
100,19100,8,2023-09-14 10:00:15,37.6,38.22,121.6,2023-09-14 10:00:00
101,19101,9,2023-09-14 10:00:15,66.23,67.31,144.0,2023-09-14 10:00:00
102,19102,10,2023-09-14 10:00:15,35.47,36.06,109.7,2023-09-14 10:00:00
103,19103,6,2023-09-14 10:10:15,96.53,98.22,135.6,2023-09-14 10:10:00
104,19104,7,2023-09-14 10:10:15,90.42,92.02,132.1,2023-09-14 10:10:00
105,19105,8,2023-09-14 10:10:15,99.07,100.7,134.6,2023-09-14 10:10:00
106,19106,9,2023-09-14 10:10:15,105.58,107.73,157.3,2023-09-14 10:10:00
107,19107,10,2023-09-14 10:10:15,89.8,91.32,122.8,2023-09-14 10:10:00
108,19108,6,2023-09-14 10:20:15,90.0,91.74,145.7,2023-09-14 10:20:00
109,19109,7,2023-09-14 10:20:15,86.72,88.19,147.0,2023-09-14 10:20:00
110,19110,8,2023-09-14 10:20:15,91.38,92.93,149.8,2023-09-14 10:20:00
111,19111,9,2023-09-14 10:20:15,102.16,104.2,175.2,2023-09-14 10:20:00
112,19112,10,2023-09-14 10:20:15,78.29,79.82,136.7,2023-09-14 10:20:00
113,19113,6,2023-09-14 10:30:15,96.87,98.54,160.9,2023-09-14 10:30:00
114,19114,7,2023-09-14 10:30:15,95.02,96.64,162.6,2023-09-14 10:30:00
115,19115,8,2023-09-14 10:30:15,79.59,81.61,165.6,2023-09-14 10:30:00
116,19116,9,2023-09-14 10:30:15,108.37,110.56,193.0,2023-09-14 10:30:00
117,19117,10,2023-09-14 10:30:15,89.48,91.03,146.4,2023-09-14 10:30:00
118,19118,6,2023-09-14 10:40:15,57.43,58.43,174.3,2023-09-14 10:40:00
119,19119,7,2023-09-14 10:40:15,61.37,62.38,175.4,2023-09-14 10:40:00
120,19120,8,2023-09-14 10:40:15,87.54,88.93,177.9,2023-09-14 10:40:00
121,19121,9,2023-09-14 10:40:15,84.15,85.55,207.6,2023-09-14 10:40:00
122,19122,10,2023-09-14 10:40:15,90.34,91.87,163.0,2023-09-14 10:40:00
123,19123,6,2023-09-14 10:50:15,48.63,49.53,186.2,2023-09-14 10:50:00
124,19124,7,2023-09-14 10:50:15,52.95,53.8,186.9,2023-09-14 10:50:00
125,19125,8,2023-09-14 10:50:15,62.15,63.15,185.6,2023-09-14 10:50:00
126,19126,9,2023-09-14 10:50:15,69.49,70.63,221.2,2023-09-14 10:50:00
127,19127,10,2023-09-14 10:50:15,47.72,48.56,170.3,2023-09-14 10:50:00
128,19128,6,2023-09-14 11:00:15,65.24,66.29,195.2,2023-09-14 11:00:00
129,19129,7,2023-09-14 11:00:15,72.97,74.12,196.3,2023-09-14 11:00:00
130,19130,8,2023-09-14 11:00:15,65.92,66.98,199.0,2023-09-14 11:00:00
131,19131,9,2023-09-14 11:00:15,72.45,73.67,232.2,2023-09-14 11:00:00
132,19132,10,2023-09-14 11:00:15,60.01,60.98,182.0,2023-09-14 11:00:00
133,19133,6,2023-09-14 11:10:15,66.93,68.13,206.4,2023-09-14 11:10:00
134,19134,7,2023-09-14 11:10:15,57.72,58.64,207.4,2023-09-14 11:10:00
135,19135,8,2023-09-14 11:10:15,55.29,56.14,209.4,2023-09-14 11:10:00
136,19136,9,2023-09-14 11:10:15,64.31,65.44,243.9,2023-09-14 11:10:00
137,19137,10,2023-09-14 11:10:15,52.95,53.95,192.1,2023-09-14 11:10:00
138,19138,6,2023-09-14 11:20:15,77.92,79.55,218.2,2023-09-14 11:20:00
139,19139,7,2023-09-14 11:20:15,68.33,69.51,219.2,2023-09-14 11:20:00
140,19140,8,2023-09-14 11:20:15,59.61,60.57,221.0,2023-09-14 11:20:00
141,19141,9,2023-09-14 11:20:15,79.2,80.51,255.4,2023-09-14 11:20:00
142,19142,10,2023-09-14 11:20:15,92.43,94.16,200.0,2023-09-14 11:20:00
143,19143,6,2023-09-14 11:30:15,108.71,110.97,230.6,2023-09-14 11:30:00
144,19144,7,2023-09-14 11:30:15,103.49,105.74,231.4,2023-09-14 11:30:00
145,19145,8,2023-09-14 11:30:15,108.75,111.09,234.4,2023-09-14 11:30:00
146,19146,9,2023-09-14 11:30:15,93.87,95.39,269.0,2023-09-14 11:30:00
147,19147,10,2023-09-14 11:30:15,85.03,86.46,216.5,2023-09-14 11:30:00
148,19148,6,2023-09-14 11:40:15,100.26,102.12,244.5,2023-09-14 11:40:00
149,19149,7,2023-09-14 11:40:15,101.67,103.59,245.7,2023-09-14 11:40:00
150,19150,8,2023-09-14 11:40:15,101.33,103.27,249.0,2023-09-14 11:40:00
151,19151,9,2023-09-14 11:40:15,107.76,109.96,283.5,2023-09-14 11:40:00
152,19152,10,2023-09-14 11:40:15,91.75,93.26,224.3,2023-09-14 11:40:00
153,19153,6,2023-09-14 11:50:15,95.15,96.75,263.8,2023-09-14 11:50:00
154,19154,7,2023-09-14 11:50:15,86.53,87.98,259.9,2023-09-14 11:50:00
155,19155,8,2023-09-14 11:50:15,93.64,95.27,262.7,2023-09-14 11:50:00
156,19156,9,2023-09-14 11:50:15,106.47,108.62,304.0,2023-09-14 11:50:00
157,19157,10,2023-09-14 11:50:15,91.26,92.82,242.8,2023-09-14 11:50:00
158,19158,6,2023-09-14 12:00:15,98.9,100.57,273.9,2023-09-14 12:00:00
159,19159,7,2023-09-14 12:00:15,97.08,98.76,274.6,2023-09-14 12:00:00
160,19160,8,2023-09-14 12:00:15,89.47,90.98,272.8,2023-09-14 12:00:00
161,19161,9,2023-09-14 12:00:15,81.05,82.56,315.1,2023-09-14 12:00:00
162,19162,10,2023-09-14 12:00:15,85.05,86.52,257.0,2023-09-14 12:00:00
163,19163,6,2023-09-14 12:10:15,95.29,96.91,290.0,2023-09-14 12:10:00
164,19164,7,2023-09-14 12:10:15,97.39,99.11,290.8,2023-09-14 12:10:00
165,19165,8,2023-09-14 12:10:15,99.76,101.45,289.1,2023-09-14 12:10:00
166,19166,9,2023-09-14 12:10:15,105.48,107.6,331.8,2023-09-14 12:10:00
167,19167,10,2023-09-14 12:10:15,82.06,83.55,272.2,2023-09-14 12:10:00
168,19168,6,2023-09-14 12:20:15,60.1,61.1,303.7,2023-09-14 12:20:00
169,19169,7,2023-09-14 12:20:15,57.99,58.93,304.7,2023-09-14 12:20:00
170,19170,8,2023-09-14 12:20:15,97.83,99.45,308.3,2023-09-14 12:20:00
171,19171,9,2023-09-14 12:20:15,39.52,40.22,347.4,2023-09-14 12:20:00
172,19172,10,2023-09-14 12:20:15,98.42,100.14,285.0,2023-09-14 12:20:00
173,19173,6,2023-09-14 12:30:15,87.55,89.1,319.0,2023-09-14 12:30:00
174,19174,7,2023-09-14 12:30:15,89.77,91.27,320.1,2023-09-14 12:30:00
175,19175,8,2023-09-14 12:30:15,91.37,92.91,323.8,2023-09-14 12:30:00
176,19176,9,2023-09-14 12:30:15,99.48,101.18,362.3,2023-09-14 12:30:00
177,19177,10,2023-09-14 12:30:15,84.32,85.83,295.0,2023-09-14 12:30:00
178,19178,6,2023-09-14 12:40:15,101.84,103.77,332.5,2023-09-14 12:40:00
179,19179,7,2023-09-14 12:40:15,103.36,105.39,333.9,2023-09-14 12:40:00
180,19180,8,2023-09-14 12:40:15,79.14,80.51,332.5,2023-09-14 12:40:00
181,19181,9,2023-09-14 12:40:15,107.84,109.96,375.9,2023-09-14 12:40:00
182,19182,10,2023-09-14 12:40:15,73.36,74.83,308.1,2023-09-14 12:40:00
183,19183,6,2023-09-14 12:50:15,87.4,88.82,343.8,2023-09-14 12:50:00
184,19184,7,2023-09-14 12:50:15,94.84,96.49,350.9,2023-09-14 12:50:00
185,19185,8,2023-09-14 12:50:15,98.75,100.34,349.9,2023-09-14 12:50:00
186,19186,9,2023-09-14 12:50:15,93.28,94.77,388.7,2023-09-14 12:50:00
187,19187,10,2023-09-14 12:50:15,92.79,94.35,324.5,2023-09-14 12:50:00
188,19188,6,2023-09-14 13:00:15,89.86,91.37,359.2,2023-09-14 13:00:00
189,19189,7,2023-09-14 13:00:15,90.7,92.18,361.1,2023-09-14 13:00:00
190,19190,8,2023-09-14 13:00:15,91.71,93.29,365.4,2023-09-14 13:00:00
191,19191,9,2023-09-14 13:00:15,96.19,97.82,410.7,2023-09-14 13:00:00
192,19192,10,2023-09-14 13:00:15,87.5,89.01,339.1,2023-09-14 13:00:00
193,19193,6,2023-09-14 13:10:15,89.02,90.52,373.8,2023-09-14 13:10:00
194,19194,7,2023-09-14 13:10:15,89.72,91.2,375.7,2023-09-14 13:10:00
195,19195,8,2023-09-14 13:10:15,86.31,87.8,379.9,2023-09-14 13:10:00
196,19196,9,2023-09-14 13:10:15,59.2,61.47,420.7,2023-09-14 13:10:00
197,19197,10,2023-09-14 13:10:15,86.66,88.13,348.5,2023-09-14 13:10:00
198,19198,6,2023-09-14 13:20:15,87.31,88.84,388.3,2023-09-14 13:20:00
199,19199,7,2023-09-14 13:20:15,89.66,91.17,390.3,2023-09-14 13:20:00
200,19200,8,2023-09-14 13:20:15,86.81,88.26,394.5,2023-09-14 13:20:00
201,19201,9,2023-09-14 13:20:15,93.76,95.32,435.5,2023-09-14 13:20:00
202,19202,10,2023-09-14 13:20:15,84.58,86.12,367.5,2023-09-14 13:20:00
203,19203,6,2023-09-14 13:30:15,89.78,91.34,403.2,2023-09-14 13:30:00
204,19204,7,2023-09-14 13:30:15,92.83,94.37,410.5,2023-09-14 13:30:00
205,19205,8,2023-09-14 13:30:15,93.39,94.93,409.6,2023-09-14 13:30:00
206,19206,9,2023-09-14 13:30:15,93.81,95.37,451.0,2023-09-14 13:30:00
207,19207,10,2023-09-14 13:30:15,90.31,91.85,377.2,2023-09-14 13:30:00
208,19208,6,2023-09-14 13:40:15,87.23,88.69,418.0,2023-09-14 13:40:00
209,19209,7,2023-09-14 13:40:15,83.42,84.81,420.2,2023-09-14 13:40:00
210,19210,8,2023-09-14 13:40:15,86.95,88.38,424.2,2023-09-14 13:40:00
211,19211,9,2023-09-14 13:40:15,85.3,86.74,466.4,2023-09-14 13:40:00
212,19212,10,2023-09-14 13:40:15,86.91,88.37,396.9,2023-09-14 13:40:00
213,19213,6,2023-09-14 13:50:15,78.27,79.64,431.4,2023-09-14 13:50:00
214,19214,7,2023-09-14 13:50:15,80.51,81.86,433.9,2023-09-14 13:50:00
215,19215,8,2023-09-14 13:50:15,80.99,82.34,437.6,2023-09-14 13:50:00
