id;"device_id";"gather_time";"active_power";"direct_power";"charge_capacity"
105081;9;"2024-02-24 03:10:00";0.0;0.0;0.0
105082;10;"2024-02-24 03:10:00";0.0;0.0;0.0
105083;6;"2024-02-24 04:10:00";0.0;0.0;0.0
105084;7;"2024-02-24 04:10:00";0.0;0.0;0.0
105085;8;"2024-02-24 04:10:00";0.0;0.0;0.0
105086;9;"2024-02-24 04:10:00";0.0;0.0;0.0
105087;10;"2024-02-24 04:10:00";0.0;0.0;0.0
105088;6;"2024-02-24 05:10:01";0.0;0.0;0.0
105089;7;"2024-02-24 05:10:01";0.0;0.0;0.0
105090;8;"2024-02-24 05:10:01";0.0;0.0;0.0
105091;9;"2024-02-24 05:10:01";0.0;0.0;0.0
105092;10;"2024-02-24 05:10:01";0.0;0.0;0.0
105093;6;"2024-02-24 06:10:00";0.0;0.0;0.0
105094;7;"2024-02-24 06:10:00";0.0;0.0;0.0
105095;8;"2024-02-24 06:10:00";0.0;0.0;0.0
105096;9;"2024-02-24 06:10:00";0.0;0.0;0.0
105097;10;"2024-02-24 06:10:00";0.0;0.0;0.0
105098;6;"2024-02-24 07:10:00";2.82;2.94;0.4
105099;7;"2024-02-24 07:10:00";2.41;2.8;0.3
105100;8;"2024-02-24 07:10:00";2.74;3.18;0.4
105101;9;"2024-02-24 07:10:00";2.5;2.77;0.3
105102;10;"2024-02-24 07:10:00";2.62;2.81;0.4
105103;6;"2024-02-24 08:10:00";3.46;3.69;3.8
105104;7;"2024-02-24 08:10:00";3.5;3.79;3.9
105105;8;"2024-02-24 08:10:00";3.51;3.84;3.8
105106;9;"2024-02-24 08:10:00";3.65;4.24;4.1
105107;10;"2024-02-24 08:10:00";3.37;3.66;3.9
105108;6;"2024-02-24 09:10:00";6.28;6.63;9.0
105109;7;"2024-02-24 09:10:00";6.02;6.23;9.2
105110;8;"2024-02-24 09:10:00";6.0;6.3;9.0
105111;9;"2024-02-24 09:10:00";6.52;6.84;9.7
105112;10;"2024-02-24 09:10:00";7.69;7.92;9.4
105113;6;"2024-02-24 10:10:01";8.14;8.45;17.6
105114;7;"2024-02-24 10:10:01";7.79;8.08;17.9
105115;8;"2024-02-24 10:10:01";7.41;7.76;17.7
105116;9;"2024-02-24 10:10:01";8.24;8.58;18.9
105117;10;"2024-02-24 10:10:01";5.76;5.99;18.2
105118;6;"2024-02-24 11:10:00";28.55;28.98;33.9
105119;7;"2024-02-24 11:10:00";28.03;28.43;34.5
105120;8;"2024-02-24 11:10:00";27.99;28.49;34.3
105121;9;"2024-02-24 11:10:00";30.61;31.03;36.4
105122;10;"2024-02-24 11:10:00";30.46;30.92;34.2
105123;6;"2024-02-24 12:10:01";23.65;24.03;55.0
105124;7;"2024-02-24 12:10:01";21.43;21.76;55.8
105125;8;"2024-02-24 12:10:01";23.38;23.76;54.0
105126;9;"2024-02-24 12:10:01";23.39;23.79;58.9
105127;10;"2024-02-24 12:10:01";25.26;25.64;55.5
105128;6;"2024-02-24 13:10:00";15.09;15.37;72.8
105129;7;"2024-02-24 13:10:00";15.99;16.28;73.7
105130;8;"2024-02-24 13:10:00";14.29;14.57;72.3
105131;9;"2024-02-24 13:10:00";17.02;17.48;78.1
105132;10;"2024-02-24 13:10:00";14.74;15.02;73.6
105133;6;"2024-02-24 14:10:00";17.05;17.35;90.5
105134;7;"2024-02-24 14:10:00";18.72;19.03;91.5
105135;8;"2024-02-24 14:10:00";18.99;19.32;91.0
105136;9;"2024-02-24 14:10:00";19.81;20.18;97.3
105137;10;"2024-02-24 14:10:00";16.36;16.66;91.6
105138;6;"2024-02-24 15:10:00";12.37;12.72;107.4
105139;7;"2024-02-24 15:10:00";14.42;14.7;107.6
105140;8;"2024-02-24 15:10:00";13.48;13.79;107.1
105141;9;"2024-02-24 15:10:00";15.47;15.82;114.8
105142;10;"2024-02-24 15:10:00";13.76;14.03;108.9
105143;6;"2024-02-24 16:10:01";11.67;11.92;119.4
105144;7;"2024-02-24 16:10:01";12.53;12.8;119.7
105145;8;"2024-02-24 16:10:01";11.84;12.12;119.1
105146;9;"2024-02-24 16:10:01";13.45;13.8;127.9
105147;10;"2024-02-24 16:10:01";12.17;12.42;121.1
105148;6;"2024-02-24 17:10:00";3.51;3.94;125.6
105149;7;"2024-02-24 17:10:00";3.48;3.8;126.5
105150;8;"2024-02-24 17:10:00";3.54;3.95;125.6
105151;9;"2024-02-24 17:10:00";3.78;4.11;135.1
105152;10;"2024-02-24 17:10:00";3.69;4.04;127.9
105153;6;"2024-02-24 18:10:01";0.0;0.0;126.4
105154;7;"2024-02-24 18:10:01";0.0;0.0;127.2
105155;8;"2024-02-24 18:10:01";0.0;0.0;126.3
105156;9;"2024-02-24 18:10:01";0.0;0.07;135.9
105157;10;"2024-02-24 18:10:01";0.0;0.0;128.6
105158;6;"2024-02-24 19:10:00";0.0;0.0;126.4
105159;7;"2024-02-24 19:10:00";0.0;0.0;127.2
105160;8;"2024-02-24 19:10:00";0.0;0.0;126.3
105161;9;"2024-02-24 19:10:00";0.0;0.0;135.9
105162;10;"2024-02-24 19:10:00";0.0;0.0;128.6
105163;6;"2024-02-24 20:10:00";0.0;0.0;126.4
105164;7;"2024-02-24 20:10:00";0.0;0.0;127.2
105165;8;"2024-02-24 20:10:00";0.0;0.0;126.3
105166;9;"2024-02-24 20:10:00";0.0;0.0;135.9
105167;10;"2024-02-24 20:10:00";0.0;0.0;128.6
105168;6;"2024-02-24 21:10:00";0.0;0.0;126.4
105169;7;"2024-02-24 21:10:00";0.0;0.0;127.2
105170;8;"2024-02-24 21:10:00";0.0;0.0;126.3
105171;9;"2024-02-24 21:10:00";0.0;0.0;135.9
105172;10;"2024-02-24 21:10:00";0.0;0.0;128.6
105173;6;"2024-02-24 22:10:01";0.0;0.0;126.4
105174;7;"2024-02-24 22:10:01";0.0;0.0;127.2
105175;8;"2024-02-24 22:10:01";0.0;0.0;126.3
105176;9;"2024-02-24 22:10:01";0.0;0.0;135.9
105177;10;"2024-02-24 22:10:01";0.0;0.0;128.6
105178;6;"2024-02-24 23:10:00";0.0;0.0;126.4
105179;7;"2024-02-24 23:10:00";0.0;0.0;127.2
105180;8;"2024-02-24 23:10:00";0.0;0.0;126.3
105181;9;"2024-02-24 23:10:00";0.0;0.0;135.9
105182;10;"2024-02-24 23:10:00";0.0;0.0;128.6
105183;6;"2024-02-25 00:10:01";0.0;0.0;0.0
105184;7;"2024-02-25 00:10:01";0.0;0.0;0.0
105185;8;"2024-02-25 00:10:01";0.0;0.0;0.0
105186;9;"2024-02-25 00:10:01";0.0;0.0;0.0
105187;10;"2024-02-25 00:10:01";0.0;0.0;0.0
105188;6;"2024-02-25 01:10:00";0.0;0.0;0.0
105189;7;"2024-02-25 01:10:00";0.0;0.0;0.0
105190;8;"2024-02-25 01:10:00";0.0;0.0;0.0
105191;9;"2024-02-25 01:10:00";0.0;0.0;0.0
105192;10;"2024-02-25 01:10:00";0.0;0.0;0.0
105193;6;"2024-02-25 02:10:00";0.0;0.0;0.0
105194;7;"2024-02-25 02:10:00";0.0;0.0;0.0
105195;8;"2024-02-25 02:10:00";0.0;0.0;0.0
105196;9;"2024-02-25 02:10:00";0.0;0.0;0.0
105197;10;"2024-02-25 02:10:00";0.0;0.0;0.0
105198;6;"2024-02-25 03:10:00";0.0;0.0;0.0
105199;7;"2024-02-25 03:10:00";0.0;0.0;0.0
105200;8;"2024-02-25 03:10:00";0.0;0.0;0.0
105201;9;"2024-02-25 03:10:00";0.0;0.0;0.0
105202;10;"2024-02-25 03:10:00";0.0;0.0;0.0
105203;6;"2024-02-25 04:10:00";0.0;0.0;0.0
105204;7;"2024-02-25 04:10:00";0.0;0.0;0.0
105205;8;"2024-02-25 04:10:00";0.0;0.0;0.0
105206;9;"2024-02-25 04:10:00";0.0;0.0;0.0
105207;10;"2024-02-25 04:10:00";0.0;0.0;0.0
105208;6;"2024-02-25 05:10:00";0.0;0.0;0.0
105209;7;"2024-02-25 05:10:00";0.0;0.0;0.0
105210;8;"2024-02-25 05:10:00";0.0;0.0;0.0
105211;9;"2024-02-25 05:10:00";0.0;0.0;0.0
105212;10;"2024-02-25 05:10:00";0.0;0.0;0.0
105213;6;"2024-02-25 06:10:00";0.0;0.0;0.0
105214;7;"2024-02-25 06:10:00";0.0;0.0;0.0
105215;8;"2024-02-25 06:10:00";0.0;0.0;0.0
105216;9;"2024-02-25 06:10:00";0.0;0.0;0.0
105217;10;"2024-02-25 06:10:00";0.0;0.0;0.0
105218;6;"2024-02-25 07:10:01";1.86;2.05;0.2
105219;7;"2024-02-25 07:10:01";1.85;2.38;0.2
105220;8;"2024-02-25 07:10:01";2.1;2.32;0.3
105221;9;"2024-02-25 07:10:01";2.54;2.86;0.4
105222;10;"2024-02-25 07:10:01";1.65;2.0;0.1
105223;6;"2024-02-25 08:10:00";15.61;15.92;10.1
105224;7;"2024-02-25 08:10:00";15.49;15.88;10.3
105225;8;"2024-02-25 08:10:00";15.19;15.48;10.7
105226;9;"2024-02-25 08:10:00";17.96;18.26;12.0
105227;10;"2024-02-25 08:10:00";14.0;14.35;9.8
105228;6;"2024-02-25 09:10:00";32.25;32.78;29.9
105229;7;"2024-02-25 09:10:00";40.05;41.09;29.8
105230;8;"2024-02-25 09:10:00";28.79;29.19;31.2
105231;9;"2024-02-25 09:10:00";35.03;35.51;36.9
105232;10;"2024-02-25 09:10:00";29.68;30.14;28.9
105233;6;"2024-02-25 10:10:00";39.1;39.64;81.5
105234;7;"2024-02-25 10:10:00";39.24;39.78;82.1
105235;8;"2024-02-25 10:10:00";42.79;43.32;84.2
105236;9;"2024-02-25 10:10:00";44.81;45.39;95.5
105237;10;"2024-02-25 10:10:00";32.72;33.18;73.3
105238;6;"2024-02-25 11:10:01";51.37;53.06;143.6
105239;7;"2024-02-25 11:10:01";42.03;42.6;144.1
105240;8;"2024-02-25 11:10:01";42.9;43.44;143.5
105241;9;"2024-02-25 11:10:01";48.09;48.7;166.2
105242;10;"2024-02-25 11:10:01";41.52;42.09;130.4
105243;6;"2024-02-25 12:10:00";49.99;50.66;201.9
105244;7;"2024-02-25 12:10:00";47.94;48.59;203.0
105245;8;"2024-02-25 12:10:00";44.22;44.78;202.4
105246;9;"2024-02-25 12:10:00";52.47;53.13;236.7
105247;10;"2024-02-25 12:10:00";44.43;45.03;185.8
105248;6;"2024-02-25 13:10:01";42.14;42.74;260.8
105249;7;"2024-02-25 13:10:01";43.19;43.78;262.6
105250;8;"2024-02-25 13:10:01";40.5;41.01;264.7
105251;9;"2024-02-25 13:10:01";47.11;47.7;302.9
105252;10;"2024-02-25 13:10:01";40.82;41.4;245.7
105253;6;"2024-02-25 14:10:00";84.75;85.95;307.9
105254;7;"2024-02-25 14:10:00";66.61;67.56;312.2
105255;8;"2024-02-25 14:10:00";39.78;40.31;310.7
105256;9;"2024-02-25 14:10:00";53.46;54.19;354.7
105257;10;"2024-02-25 14:10:00";44.3;49.61;292.4
105258;6;"2024-02-25 15:10:01";30.83;31.29;364.4
105259;7;"2024-02-25 15:10:01";37.11;37.65;366.7
105260;8;"2024-02-25 15:10:01";49.64;50.3;364.5
105261;9;"2024-02-25 15:10:01";38.64;39.15;414.2
105262;10;"2024-02-25 15:10:01";34.79;35.32;345.5
105263;6;"2024-02-25 16:10:00";40.48;41.06;393.7
105264;7;"2024-02-25 16:10:00";39.29;39.89;398.1
105265;8;"2024-02-25 16:10:00";30.76;31.29;393.4
105266;9;"2024-02-25 16:10:00";40.37;40.91;447.0
105267;10;"2024-02-25 16:10:00";42.4;43.0;377.1
105268;6;"2024-02-25 17:10:00";4.45;4.86;404.6
105269;7;"2024-02-25 17:10:00";4.35;4.66;408.2
105270;8;"2024-02-25 17:10:00";4.36;4.92;403.4
105271;9;"2024-02-25 17:10:00";4.61;5.04;457.9
105272;10;"2024-02-25 17:10:00";4.61;5.01;388.3
105273;6;"2024-02-25 18:10:00";0.0;0.07;406.1
105274;7;"2024-02-25 18:10:00";0.0;0.0;409.6
105275;8;"2024-02-25 18:10:00";0.0;0.0;404.7
105276;9;"2024-02-25 18:10:00";0.0;0.13;459.4
105277;10;"2024-02-25 18:10:00";0.0;0.07;389.8
105278;6;"2024-02-25 19:10:00";0.0;0.0;406.1
105279;7;"2024-02-25 19:10:00";0.0;0.0;409.6
105280;8;"2024-02-25 19:10:00";0.0;0.0;404.7
105281;9;"2024-02-25 19:10:00";0.0;0.0;459.4
105282;10;"2024-02-25 19:10:00";0.0;0.0;389.8
105283;6;"2024-02-25 20:10:01";0.0;0.0;406.1
105284;7;"2024-02-25 20:10:01";0.0;0.0;409.6
105285;8;"2024-02-25 20:10:01";0.0;0.0;404.7
105286;9;"2024-02-25 20:10:01";0.0;0.0;459.4
105287;10;"2024-02-25 20:10:01";0.0;0.0;389.8
105288;6;"2024-02-25 21:10:00";0.0;0.0;406.1
105289;7;"2024-02-25 21:10:00";0.0;0.0;409.6
105290;8;"2024-02-25 21:10:00";0.0;0.0;404.7
105291;9;"2024-02-25 21:10:00";0.0;0.0;459.4
105292;10;"2024-02-25 21:10:00";0.0;0.0;389.8
105293;6;"2024-02-25 22:10:00";0.0;0.0;406.1
105294;7;"2024-02-25 22:10:00";0.0;0.0;409.6
105295;8;"2024-02-25 22:10:00";0.0;0.0;404.7
105296;9;"2024-02-25 22:10:00";0.0;0.0;459.4
105297;10;"2024-02-25 22:10:00";0.0;0.0;389.8
105298;6;"2024-02-25 23:10:00";0.0;0.0;406.1
105299;7;"2024-02-25 23:10:00";0.0;0.0;409.6
105300;8;"2024-02-25 23:10:00";0.0;0.0;404.7
105301;9;"2024-02-25 23:10:00";0.0;0.0;459.4
105302;10;"2024-02-25 23:10:00";0.0;0.0;389.8
105303;6;"2024-02-26 00:10:01";0.0;0.0;0.0
105304;7;"2024-02-26 00:10:01";0.0;0.0;0.0
105305;8;"2024-02-26 00:10:01";0.0;0.0;0.0
105306;9;"2024-02-26 00:10:01";0.0;0.0;0.0
105307;10;"2024-02-26 00:10:01";0.0;0.0;0.0
105308;6;"2024-02-26 01:10:00";0.0;0.0;0.0
105309;7;"2024-02-26 01:10:00";0.0;0.0;0.0
