,id,device_id,active_power,direct_power,charge_capacity,T,U,Ff,RRR,DD_WE,DD_NS,Po(p),POA,cc_diff,active_power_b,T_b,U_b,Ff_b,RRR_b,DD_WE_b,DD_NS_b,Po(p)_b,POA_b,hour
60,21568,6,14.2,14.56,17.6,27.8,84.0,0.0,0.0,-1,1,999.04,443.11,17.6,0.0,26.3,91.0,1.0,0.0,-1.0,0.0,997.85,0.0,8
61,21569,7,15.51,15.81,18.2,27.8,84.0,0.0,0.0,-1,1,999.04,443.11,18.2,0.0,26.3,91.0,1.0,0.0,-1.0,0.0,997.85,0.0,8
62,21570,8,14.87,15.17,18.0,27.8,84.0,0.0,0.0,-1,1,999.04,443.11,18.0,0.0,26.3,91.0,1.0,0.0,-1.0,0.0,997.85,0.0,8
63,21571,9,15.36,15.7,19.0,27.8,84.0,0.0,0.0,-1,1,999.04,443.11,19.0,0.0,26.3,91.0,1.0,0.0,-1.0,0.0,997.85,0.0,8
64,21572,10,14.0,14.3,17.0,27.8,84.0,0.0,0.0,-1,1,999.04,443.11,17.0,0.0,26.3,91.0,1.0,0.0,-1.0,0.0,997.85,0.0,8
65,21658,6,48.18,48.93,110.4,29.0,78.0,1.0,0.0,-1,-1,999.3,944.02,92.8,14.2,27.8,84.0,0.0,0.0,-1.0,1.0,999.04,443.11,11
66,21659,7,46.07,46.76,112.5,29.0,78.0,1.0,0.0,-1,-1,999.3,944.02,94.3,15.51,27.8,84.0,0.0,0.0,-1.0,1.0,999.04,443.11,11
67,21660,8,46.18,46.92,112.7,29.0,78.0,1.0,0.0,-1,-1,999.3,944.02,94.7,14.87,27.8,84.0,0.0,0.0,-1.0,1.0,999.04,443.11,11
68,21661,9,49.75,50.5,122.7,29.0,78.0,1.0,0.0,-1,-1,999.3,944.02,103.7,15.36,27.8,84.0,0.0,0.0,-1.0,1.0,999.04,443.11,11
69,21662,10,44.63,45.32,108.1,29.0,78.0,1.0,0.0,-1,-1,999.3,944.02,91.1,14.0,27.8,84.0,0.0,0.0,-1.0,1.0,999.04,443.11,11
70,21748,6,29.67,30.12,226.6,30.1,73.0,1.0,0.0,1,-1,997.45,800.03,116.2,48.18,29.0,78.0,1.0,0.0,-1.0,-1.0,999.3,944.02,14
71,21749,7,30.06,30.53,229.2,30.1,73.0,1.0,0.0,1,-1,997.45,800.03,116.7,46.07,29.0,78.0,1.0,0.0,-1.0,-1.0,999.3,944.02,14
72,21750,8,30.25,30.67,229.8,30.1,73.0,1.0,0.0,1,-1,997.45,800.03,117.1,46.18,29.0,78.0,1.0,0.0,-1.0,-1.0,999.3,944.02,14
73,21751,9,32.3,32.8,245.3,30.1,73.0,1.0,0.0,1,-1,997.45,800.03,122.6,49.75,29.0,78.0,1.0,0.0,-1.0,-1.0,999.3,944.02,14
74,21752,10,29.5,29.93,222.5,30.1,73.0,1.0,0.0,1,-1,997.45,800.03,114.4,44.63,29.0,78.0,1.0,0.0,-1.0,-1.0,999.3,944.02,14
75,21838,6,17.39,17.7,279.5,31.1,70.0,1.0,0.0,-1,1,996.79,130.3,52.9,29.67,30.1,73.0,1.0,0.0,1.0,-1.0,997.45,800.03,17
76,21839,7,17.17,17.5,282.6,31.1,70.0,1.0,0.0,-1,1,996.79,130.3,53.4,30.06,30.1,73.0,1.0,0.0,1.0,-1.0,997.45,800.03,17
77,21840,8,14.0,14.25,282.3,31.1,70.0,1.0,0.0,-1,1,996.79,130.3,52.5,30.25,30.1,73.0,1.0,0.0,1.0,-1.0,997.45,800.03,17
78,21841,9,15.9,16.31,302.4,31.1,70.0,1.0,0.0,-1,1,996.79,130.3,57.1,32.3,30.1,73.0,1.0,0.0,1.0,-1.0,997.45,800.03,17
79,21842,10,21.95,22.28,276.1,31.1,70.0,1.0,0.0,-1,1,996.79,130.3,53.6,29.5,30.1,73.0,1.0,0.0,1.0,-1.0,997.45,800.03,17
80,21928,6,0.0,0.0,287.1,27.9,74.0,1.0,0.0,-1,0,997.71,0.0,7.6,17.39,31.1,70.0,1.0,0.0,-1.0,1.0,996.79,130.3,20
81,21929,7,0.0,0.0,290.1,27.9,74.0,1.0,0.0,-1,0,997.71,0.0,7.5,17.17,31.1,70.0,1.0,0.0,-1.0,1.0,996.79,130.3,20
82,21930,8,0.0,0.0,289.2,27.9,74.0,1.0,0.0,-1,0,997.71,0.0,6.9,14.0,31.1,70.0,1.0,0.0,-1.0,1.0,996.79,130.3,20
83,21931,9,0.0,0.0,309.6,27.9,74.0,1.0,0.0,-1,0,997.71,0.0,7.2,15.9,31.1,70.0,1.0,0.0,-1.0,1.0,996.79,130.3,20
