,id,device_id,active_power,direct_power,charge_capacity,T,U,Ff,RRR,DD_WE,DD_NS,Po(p),POA,cc_diff,active_power_b,T_b,U_b,Ff_b,RRR_b,DD_WE_b,DD_NS_b,Po(p)_b,POA_b,hour
484,31647,10,24.45,24.81,18.8,26.7,81.0,2.0,0.0,-1,-1,999.56,454.68,18.8,0.0,24.9,90.0,2.0,0.0,-1.0,0.0,998.77,0.0,8
489,31737,10,64.16,65.16,153.5,32.0,58.0,1.0,0.0,1,-1,998.77,953.58,134.7,24.45,26.7,81.0,2.0,0.0,-1.0,-1.0,999.56,454.68,11
494,31827,10,56.67,57.48,343.8,33.3,59.0,2.0,0.0,1,-1,996.39,787.73,190.3,64.16,32.0,58.0,1.0,0.0,1.0,-1.0,998.77,953.58,14
499,31917,10,8.14,8.35,450.1,30.2,69.0,2.0,0.0,1,-1,995.99,88.79,106.3,56.67,33.3,59.0,2.0,0.0,1.0,-1.0,996.39,787.73,17
504,32007,10,0.0,0.0,452.6,28.8,77.0,3.0,0.0,1,0,998.37,0.0,2.5,8.14,30.2,69.0,2.0,0.0,1.0,-1.0,995.99,88.79,20
514,32367,10,4.54,4.74,3.4,23.0,97.0,0.0,83.0,0,1,1001.42,455.29,3.4,0.0,23.2,93.0,2.0,74.0,1.0,1.0,999.17,0.0,8
519,32457,10,22.67,23.07,47.1,24.2,87.0,1.0,14.0,1,1,1001.94,953.91,43.7,4.54,23.0,97.0,0.0,83.0,0.0,1.0,1001.42,455.29,11
524,32547,10,37.82,38.37,150.9,23.6,86.0,2.0,14.0,-1,1,1000.75,786.61,103.8,22.67,24.2,87.0,1.0,14.0,1.0,1.0,1001.94,953.91,14
529,32637,10,10.75,11.07,204.7,24.3,79.0,2.0,12.0,-1,1,1000.36,85.75,53.8,37.82,23.6,86.0,2.0,14.0,-1.0,1.0,1000.75,786.61,17
534,32727,10,0.0,0.0,208.2,24.4,73.0,3.0,,1,1,1001.55,0.0,3.5,10.75,24.3,79.0,2.0,12.0,-1.0,1.0,1000.36,85.75,20
544,33087,10,35.11,35.58,24.1,24.3,59.0,2.0,0.0,0,1,1003.53,455.87,24.1,0.0,22.7,73.0,2.0,0.0,-1.0,1.0,1002.08,0.0,8
549,33177,10,79.56,80.91,203.0,27.8,50.0,2.0,0.0,1,1,1002.47,954.2,178.9,35.11,24.3,59.0,2.0,0.0,0.0,1.0,1003.53,455.87,11
554,33267,10,19.38,19.83,444.6,27.9,58.0,4.0,0.0,1,0,1000.36,785.46,241.6,79.56,27.8,50.0,2.0,0.0,1.0,1.0,1002.47,954.2,14
559,33357,10,6.6,6.84,569.9,26.2,58.0,4.0,0.0,1,0,1000.75,82.72,125.3,19.38,27.9,58.0,4.0,0.0,1.0,0.0,1000.36,785.46,17
564,33447,10,0.0,0.0,572.7,25.3,61.0,3.0,0.0,1,1,1002.21,0.0,2.8,6.6,26.2,58.0,4.0,0.0,1.0,0.0,1000.75,82.72,20
574,33807,10,31.38,31.77,22.9,24.0,69.0,2.0,0.0,-1,0,1001.02,456.41,22.9,0.0,21.5,84.0,2.0,0.0,-1.0,1.0,999.96,0.0,8
579,33897,10,88.59,90.08,195.9,28.8,57.0,2.0,0.0,1,1,1000.36,954.45,173.0,31.38,24.0,69.0,2.0,0.0,-1.0,0.0,1001.02,456.41,11
584,33987,10,68.48,69.61,435.5,31.1,51.0,1.0,0.0,1,0,997.45,784.3,239.6,88.59,28.8,57.0,2.0,0.0,1.0,1.0,1000.36,954.45,14
589,34077,10,9.45,9.78,559.4,28.0,67.0,4.0,0.0,1,0,997.58,79.7,123.9,68.48,31.1,51.0,1.0,0.0,1.0,0.0,997.45,784.3,17
594,34167,10,0.0,0.0,562.2,26.3,73.0,4.0,0.0,1,1,999.04,0.0,2.8,9.45,28.0,67.0,4.0,0.0,1.0,0.0,997.58,79.7,20
604,34527,10,29.71,30.1,22.0,26.0,70.0,3.0,0.0,0,1,999.83,456.91,22.0,0.0,23.3,83.0,1.0,0.0,-1.0,1.0,998.51,0.0,8
609,34617,10,76.93,78.37,189.2,29.5,57.0,4.0,0.0,1,1,998.37,954.64,167.2,29.71,26.0,70.0,3.0,0.0,0.0,1.0,999.83,456.91,11
614,34707,10,35.19,35.76,419.1,30.0,56.0,4.0,0.0,1,1,996.66,783.11,229.9,76.93,29.5,57.0,4.0,0.0,1.0,1.0,998.37,954.64,14
619,34797,10,7.01,7.35,540.8,28.5,58.0,3.0,0.0,0,1,997.18,76.68,121.7,35.19,30.0,56.0,4.0,0.0,1.0,1.0,996.66,783.11,17
624,34887,10,0.0,0.0,543.0,26.5,64.0,2.0,0.0,1,1,999.17,0.0,2.2,7.01,28.5,58.0,3.0,0.0,0.0,1.0,997.18,76.68,20
634,35247,10,8.96,9.21,9.2,24.3,51.0,3.0,0.0,1,1,1002.08,457.38,9.2,0.0,24.4,62.0,3.0,0.0,1.0,1.0,999.3,0.0,8
639,35337,10,12.77,13.03,58.9,25.7,50.0,2.0,0.0,1,1,1002.08,954.79,49.7,8.96,24.3,51.0,3.0,0.0,1.0,1.0,1002.08,457.38,11
644,35427,10,7.82,8.05,108.1,23.3,74.0,4.0,0.0,1,1,1000.62,781.91,49.2,12.77,25.7,50.0,2.0,0.0,1.0,1.0,1002.08,954.79,14
649,35517,10,2.42,2.68,127.4,23.3,72.0,2.0,0.2,0,1,1001.28,73.69,19.3,7.82,23.3,74.0,4.0,0.0,1.0,1.0,1000.62,781.91,17
654,35607,10,0.0,0.0,128.1,23.1,62.0,4.0,0.2,1,1,1002.87,0.0,0.7,2.42,23.3,72.0,2.0,0.2,0.0,1.0,1001.28,73.69,20
664,35967,10,4.29,4.56,3.9,20.8,70.0,2.0,0.0,-1,1,1004.59,457.8,3.9,0.0,20.6,68.0,3.0,0.0,0.0,1.0,1002.87,0.0,8
669,36057,10,15.4,15.71,59.1,21.1,70.0,2.0,0.0,0,1,1004.59,954.9,55.2,4.29,20.8,70.0,2.0,0.0,-1.0,1.0,1004.59,457.8,11
674,36147,10,13.69,13.95,109.7,21.1,72.0,3.0,0.0,-1,1,1002.47,780.69,50.6,15.4,21.1,70.0,2.0,0.0,0.0,1.0,1004.59,954.9,14
679,36237,10,3.58,3.76,135.2,21.1,72.0,3.0,0.0,0,1,1002.74,70.7,25.5,13.69,21.1,72.0,3.0,0.0,-1.0,1.0,1002.47,780.69,17
684,36327,10,0.0,0.0,135.8,19.6,84.0,3.0,0.5,1,1,1004.06,0.0,0.6,3.58,21.1,72.0,3.0,0.0,0.0,1.0,1002.74,70.7,20
694,36687,10,3.56,3.92,2.1,17.9,95.0,1.0,16.0,-1,0,1004.32,458.18,2.1,0.0,17.6,95.0,2.0,8.0,-1.0,1.0,1002.87,0.0,8
704,36897,10,0.0,0.0,318.2,18.0,88.0,3.0,0.0,1,1,1004.72,0.0,0.1,0.82,19.7,82.0,4.0,0.0,1.0,0.0,1001.15,1.25,20
714,37257,10,2.08,2.43,0.5,11.7,96.0,2.0,2.0,1,0,1009.21,354.85,0.5,0.0,13.0,89.0,3.0,0.0,1.0,0.0,1006.7,0.0,8
719,37347,10,21.42,21.73,24.8,13.2,86.0,1.0,2.0,1,-1,1010.27,881.82,24.3,2.08,11.7,96.0,2.0,2.0,1.0,0.0,1009.21,354.85,11
724,37437,10,23.34,23.68,133.3,14.1,77.0,3.0,2.0,1,-1,1008.82,727.92,108.5,21.42,13.2,86.0,1.0,2.0,1.0,-1.0,1010.27,881.82,14
729,37527,10,0.0,0.35,165.6,13.6,71.0,2.0,2.0,1,0,1010.01,1.41,32.3,23.34,14.1,77.0,3.0,2.0,1.0,-1.0,1008.82,727.92,17
734,37617,10,0.0,0.0,165.6,12.8,69.0,4.0,0.0,1,1,1011.86,0.0,0.0,0.0,13.6,71.0,2.0,2.0,1.0,0.0,1010.01,1.41,20
