,id,device_id,active_power,direct_power,charge_capacity,T,U,Ff,RRR,DD_WE,DD_NS,Po(p),POA,cc_diff,active_power_b,T_b,U_b,Ff_b,RRR_b,DD_WE_b,DD_NS_b,Po(p)_b,POA_b,hour
98,22381,9,95.76,97.43,269.8,32.3,60.0,1.0,0.0,0,-1,998.77,944.99,230.9,48.23,26.9,80.0,1.0,0.0,-1.0,-1.0,999.17,444.08,11
103,22471,9,73.75,74.98,521.3,32.1,66.0,4.0,0.0,1,-1,996.79,799.4,251.5,95.76,32.3,60.0,1.0,0.0,0.0,-1.0,998.77,944.99,14
108,22561,9,4.76,5.12,639.1,29.7,80.0,2.0,0.0,1,-1,997.18,127.47,117.8,73.75,32.1,66.0,4.0,0.0,1.0,-1.0,996.79,799.4,17
113,22651,9,0.0,0.0,642.6,28.7,86.0,2.0,0.0,1,0,998.51,0.0,3.5,4.76,29.7,80.0,2.0,0.0,1.0,-1.0,997.18,127.47,20
123,23011,9,48.73,49.4,38.7,28.0,86.0,1.0,0.0,-1,-1,1000.36,445.03,38.7,0.0,26.3,87.0,1.0,0.0,-1.0,0.0,998.77,0.0,8
128,23101,9,91.48,93.01,213.4,32.0,63.0,2.0,0.0,-1,-1,999.96,945.92,174.7,48.73,28.0,86.0,1.0,0.0,-1.0,-1.0,1000.36,445.03,11
133,23191,9,72.84,74.05,480.0,32.7,63.0,3.0,0.0,1,-1,998.37,798.73,266.6,91.48,32.0,63.0,2.0,0.0,-1.0,-1.0,999.96,945.92,14
138,23276,9,6.76,7.29,603.5,30.3,71.0,3.0,0.0,1,-1,998.77,124.61,123.5,72.84,32.7,63.0,3.0,0.0,1.0,-1.0,998.37,798.73,17
143,23366,9,0.0,0.0,607.1,28.7,77.0,2.0,0.0,1,-1,1000.62,0.0,3.6,6.76,30.3,71.0,3.0,0.0,1.0,-1.0,998.77,124.61,20
153,23726,9,50.75,51.48,47.9,28.0,81.0,1.0,0.0,-1,0,1001.02,445.97,47.9,0.0,25.8,92.0,2.0,0.0,-1.0,0.0,999.3,0.0,8
158,23816,9,95.2,96.81,267.9,32.4,60.0,2.0,0.0,1,-1,1000.62,946.81,220.0,50.75,28.0,81.0,1.0,0.0,-1.0,0.0,1001.02,445.97,11
163,23906,9,79.0,80.3,538.3,32.3,61.0,2.0,0.0,1,-1,999.04,798.01,270.4,95.2,32.4,60.0,2.0,0.0,1.0,-1.0,1000.62,946.81,14
168,23996,9,9.28,9.6,667.3,30.0,74.0,3.0,0.0,1,-1,998.77,121.72,129.0,79.0,32.3,61.0,2.0,0.0,1.0,-1.0,999.04,798.01,17
173,24086,9,0.0,0.0,671.7,28.5,80.0,1.0,0.0,1,-1,999.96,0.0,4.4,9.28,30.0,74.0,3.0,0.0,1.0,-1.0,998.77,121.72,20
183,24446,9,48.48,49.13,38.7,28.2,80.0,1.0,0.0,-1,0,999.3,446.88,38.7,0.0,26.2,91.0,2.0,0.0,-1.0,0.0,998.77,0.0,8
188,24536,9,65.82,66.86,247.6,31.5,61.0,1.0,0.0,-1,-1,998.24,947.66,208.9,48.48,28.2,80.0,1.0,0.0,-1.0,0.0,999.3,446.88,11
193,24626,9,68.02,69.1,478.7,32.0,64.0,3.0,0.0,1,-1,996.13,797.26,231.1,65.82,31.5,61.0,1.0,0.0,-1.0,-1.0,998.24,947.66,14
198,24716,9,9.33,9.77,591.8,29.7,78.0,3.0,0.0,1,0,996.39,118.81,113.1,68.02,32.0,64.0,3.0,0.0,1.0,-1.0,996.13,797.26,17
203,24806,9,0.0,0.0,595.7,28.5,83.0,2.0,0.0,1,1,997.98,0.0,3.9,9.33,29.7,78.0,3.0,0.0,1.0,0.0,996.39,118.81,20
213,25166,9,40.4,40.99,33.0,29.4,78.0,1.0,0.0,1,1,999.56,447.78,33.0,0.0,26.4,93.0,1.0,0.0,-1.0,0.0,997.98,0.0,8
218,25256,9,90.55,92.18,262.9,32.6,63.0,2.0,0.0,1,0,999.43,948.45,229.9,40.4,29.4,78.0,1.0,0.0,1.0,1.0,999.56,447.78,11
223,25346,9,73.18,74.4,524.8,32.6,63.0,4.0,0.0,1,-1,997.58,796.47,261.9,90.55,32.6,63.0,2.0,0.0,1.0,0.0,999.43,948.45,14
228,25436,9,5.6,5.88,641.2,30.3,74.0,4.0,0.0,1,0,998.24,115.87,116.4,73.18,32.6,63.0,4.0,0.0,1.0,-1.0,997.58,796.47,17
233,25526,9,0.0,0.0,643.2,28.5,83.0,4.0,0.0,1,1,999.56,0.0,2.0,5.6,30.3,74.0,4.0,0.0,1.0,0.0,998.24,115.87,20
243,25886,9,51.87,52.94,34.1,25.4,95.0,0.0,0.7,-1,-1,1000.75,448.65,34.1,0.0,26.5,85.0,1.0,0.0,-1.0,1.0,999.56,0.0,8
248,25976,9,41.66,42.24,149.8,25.6,96.0,1.0,1.0,-1,0,1001.15,949.21,115.7,51.87,25.4,95.0,0.0,0.7,-1.0,-1.0,1000.75,448.65,11
253,26066,9,29.71,30.14,271.0,28.8,79.0,1.0,0.5,-1,-1,999.04,795.63,121.2,41.66,25.6,96.0,1.0,1.0,-1.0,0.0,1001.15,949.21,14
258,26156,9,8.67,9.03,336.9,27.9,79.0,5.0,0.0,1,0,999.56,112.91,65.9,29.71,28.8,79.0,1.0,0.5,-1.0,-1.0,999.04,795.63,17
263,26246,9,0.0,0.0,339.0,27.0,80.0,4.0,0.0,1,1,1001.28,0.0,2.1,8.67,27.9,79.0,5.0,0.0,1.0,0.0,999.56,112.91,20
273,26606,9,52.59,53.5,18.3,25.1,93.0,1.0,0.2,-1,1,1001.94,449.5,18.3,0.0,25.0,91.0,1.0,0.1,-1.0,0.0,1000.75,0.0,8
278,26696,9,20.23,20.73,186.6,28.0,79.0,2.0,0.3,1,1,1001.55,949.91,168.3,52.59,25.1,93.0,1.0,0.2,-1.0,1.0,1001.94,449.5,11
283,26786,9,16.33,16.69,267.5,27.7,79.0,4.0,0.2,1,1,999.96,794.76,80.9,20.23,28.0,79.0,2.0,0.3,1.0,1.0,1001.55,949.91,14
288,26876,9,3.51,3.86,290.8,24.7,95.0,3.0,2.0,1,1,1000.36,109.94,23.3,16.33,27.7,79.0,4.0,0.2,1.0,1.0,999.96,794.76,17
293,26966,9,0.0,0.0,292.4,24.3,95.0,1.0,2.0,-1,1,1001.68,0.0,1.6,3.51,24.7,95.0,3.0,2.0,1.0,1.0,1000.36,109.94,20
303,27326,9,53.1,53.83,49.4,27.8,80.0,1.0,0.0,1,0,1001.28,450.32,49.4,0.0,24.2,94.0,1.0,0.0,-1.0,0.0,1000.23,0.0,8
308,27416,9,84.56,85.97,289.2,31.4,65.0,1.0,0.0,0,-1,1000.62,950.58,239.8,53.1,27.8,80.0,1.0,0.0,1.0,0.0,1001.28,450.32,11
313,27506,9,76.03,77.28,536.5,32.1,61.0,2.0,0.0,1,-1,998.37,793.86,247.3,84.56,31.4,65.0,1.0,0.0,0.0,-1.0,1000.62,950.58,14
318,27596,9,6.35,6.83,664.0,29.5,74.0,2.0,0.0,1,0,998.64,106.95,127.5,76.03,32.1,61.0,2.0,0.0,1.0,-1.0,998.37,793.86,17
323,27686,9,0.0,0.0,666.4,27.7,86.0,2.0,0.0,1,0,999.96,0.0,2.4,6.35,29.5,74.0,2.0,0.0,1.0,0.0,998.64,106.95,20
333,28046,9,50.18,50.86,45.6,28.0,83.0,1.0,0.0,-1,0,1000.62,451.12,45.6,0.0,26.0,92.0,1.0,0.0,-1.0,1.0,999.17,0.0,8
338,28136,9,97.3,98.9,262.2,32.1,64.0,3.0,0.0,1,0,999.96,951.19,216.6,50.18,28.0,83.0,1.0,0.0,-1.0,0.0,1000.62,451.12,11
343,28226,9,75.02,76.29,526.4,31.4,69.0,4.0,0.0,1,-1,998.24,792.91,264.2,97.3,32.1,64.0,3.0,0.0,1.0,0.0,999.96,951.19,14
348,28316,9,5.39,5.65,650.3,29.6,76.0,3.0,0.0,1,0,998.9,103.94,123.9,75.02,31.4,69.0,4.0,0.0,1.0,-1.0,998.24,792.91,17
353,28406,9,0.0,0.0,652.7,28.3,81.0,4.0,0.0,1,0,1000.36,0.0,2.4,5.39,29.6,76.0,3.0,0.0,1.0,0.0,998.9,103.94,20
363,28766,9,48.74,49.46,41.5,28.5,73.0,0.0,0.0,-1,0,1001.55,451.89,41.5,0.0,26.8,83.0,1.0,0.0,-1.0,1.0,999.96,0.0,8
368,28856,9,90.8,92.4,243.3,31.9,61.0,0.0,0.0,0,0,1000.75,951.76,201.8,48.74,28.5,73.0,0.0,0.0,-1.0,0.0,1001.55,451.89,11
373,28946,9,73.07,74.27,508.0,30.6,69.0,1.5,0.0,0,0,1000.09,791.94,264.7,90.8,31.9,61.0,0.0,0.0,0.0,0.0,1000.75,951.76,14
378,29036,9,7.0,7.35,616.1,29.2,77.0,3.0,0.0,1,0,999.43,100.93,108.1,73.07,30.6,69.0,1.5,0.0,0.0,0.0,1000.09,791.94,17
383,29126,9,0.0,0.0,618.5,28.2,82.0,4.0,0.0,1,1,1000.89,0.0,2.4,7.0,29.2,77.0,3.0,0.0,1.0,0.0,999.43,100.93,20
393,29486,9,49.88,50.5,42.0,28.4,72.0,2.0,0.0,0,1,1001.15,452.64,42.0,0.0,25.5,83.0,0.0,0.0,0.0,1.0,1000.36,0.0,8
398,29576,9,34.1,34.68,260.1,30.5,63.0,2.0,0.0,-1,1,1000.36,952.29,218.1,49.88,28.4,72.0,2.0,0.0,0.0,1.0,1001.15,452.64,11
403,29666,9,73.96,75.18,512.8,30.6,66.0,3.0,0.0,1,-1,998.64,790.93,252.7,34.1,30.5,63.0,2.0,0.0,-1.0,1.0,1000.36,952.29,14
408,29756,9,7.25,7.65,631.2,29.5,73.0,3.0,0.0,1,0,998.77,97.9,118.4,73.96,30.6,66.0,3.0,0.0,1.0,-1.0,998.64,790.93,17
413,29846,9,0.0,0.0,634.0,28.1,80.0,4.0,0.0,1,0,1000.62,0.0,2.8,7.25,29.5,73.0,3.0,0.0,1.0,0.0,998.77,97.9,20
423,30206,9,48.94,49.55,30.7,27.8,77.0,1.0,0.0,-1,1,1002.21,453.35,30.7,0.0,25.3,88.0,1.0,0.0,-1.0,1.0,1000.49,0.0,8
428,30296,9,101.69,103.65,237.0,31.8,60.0,2.0,0.0,-1,1,1001.55,952.76,206.3,48.94,27.8,77.0,1.0,0.0,-1.0,1.0,1002.21,453.35,11
433,30386,9,72.26,73.44,480.5,32.8,58.0,5.0,0.0,1,0,999.56,789.89,243.5,101.69,31.8,60.0,2.0,0.0,-1.0,1.0,1001.55,952.76,14
438,30476,9,4.47,4.89,599.6,30.0,66.0,3.0,0.0,1,0,1000.23,94.87,119.1,72.26,32.8,58.0,5.0,0.0,1.0,0.0,999.56,789.89,17
443,30566,9,0.0,0.0,601.5,28.1,80.0,4.0,0.0,1,0,1001.81,0.0,1.9,4.47,30.0,66.0,3.0,0.0,1.0,0.0,1000.23,94.87,20
453,30926,9,50.36,51.01,42.3,27.9,72.0,3.0,0.0,0,1,1002.47,454.03,42.3,0.0,25.6,82.0,2.0,0.0,-1.0,1.0,1001.55,0.0,8
458,31016,9,105.17,107.25,247.1,31.6,60.0,1.0,0.0,1,1,1001.94,953.19,204.8,50.36,27.9,72.0,3.0,0.0,0.0,1.0,1002.47,454.03,11
463,31106,9,73.87,75.08,489.5,32.4,58.0,3.0,0.0,1,-1,1000.36,788.82,242.4,105.17,31.6,60.0,1.0,0.0,1.0,1.0,1001.94,953.19,14
468,31196,9,5.99,6.41,609.5,29.7,67.0,3.0,0.0,1,0,999.83,91.83,120.0,73.87,32.4,58.0,3.0,0.0,1.0,-1.0,1000.36,788.82,17
473,31286,9,0.0,0.0,611.7,27.6,80.0,2.0,0.0,1,-1,1000.62,0.0,2.2,5.99,29.7,67.0,3.0,0.0,1.0,0.0,999.83,91.83,20
483,31646,9,46.11,46.72,41.0,26.7,81.0,2.0,0.0,-1,-1,999.56,454.68,41.0,0.0,24.9,90.0,2.0,0.0,-1.0,0.0,998.77,0.0,8
488,31736,9,91.4,92.9,246.9,32.0,58.0,1.0,0.0,1,-1,998.77,953.58,205.9,46.11,26.7,81.0,2.0,0.0,-1.0,-1.0,999.56,454.68,11
493,31826,9,70.55,71.69,503.5,33.3,59.0,2.0,0.0,1,-1,996.39,787.73,256.6,91.4,32.0,58.0,1.0,0.0,1.0,-1.0,998.77,953.58,14
498,31916,9,5.95,6.28,621.0,30.2,69.0,2.0,0.0,1,-1,995.99,88.79,117.5,70.55,33.3,59.0,2.0,0.0,1.0,-1.0,996.39,787.73,17
503,32006,9,0.0,0.0,623.0,28.8,77.0,3.0,0.0,1,0,998.37,0.0,2.0,5.95,30.2,69.0,2.0,0.0,1.0,-1.0,995.99,88.79,20
513,32366,9,4.28,4.66,3.6,23.0,97.0,0.0,83.0,0,1,1001.42,455.29,3.6,0.0,23.2,93.0,2.0,74.0,1.0,1.0,999.17,0.0,8
518,32456,9,22.09,22.45,48.6,24.2,87.0,1.0,14.0,1,1,1001.94,953.91,45.0,4.28,23.0,97.0,0.0,83.0,0.0,1.0,1001.42,455.29,11
523,32546,9,43.8,44.4,153.4,23.6,86.0,2.0,14.0,-1,1,1000.75,786.61,104.8,22.09,24.2,87.0,1.0,14.0,1.0,1.0,1001.94,953.91,14
528,32636,9,10.06,10.44,209.5,24.3,79.0,2.0,12.0,-1,1,1000.36,85.75,56.1,43.8,23.6,86.0,2.0,14.0,-1.0,1.0,1000.75,786.61,17
533,32726,9,0.0,0.0,212.9,24.4,73.0,3.0,,1,1,1001.55,0.0,3.4,10.06,24.3,79.0,2.0,12.0,-1.0,1.0,1000.36,85.75,20
543,33086,9,58.3,59.08,43.3,24.3,59.0,2.0,0.0,0,1,1003.53,455.87,43.3,0.0,22.7,73.0,2.0,0.0,-1.0,1.0,1002.08,0.0,8
548,33176,9,97.65,99.22,290.5,27.8,50.0,2.0,0.0,1,1,1002.47,954.2,247.2,58.3,24.3,59.0,2.0,0.0,0.0,1.0,1003.53,455.87,11
553,33266,9,80.42,81.79,566.1,27.9,58.0,4.0,0.0,1,0,1000.36,785.46,275.6,97.65,27.8,50.0,2.0,0.0,1.0,1.0,1002.47,954.2,14
558,33356,9,5.05,5.5,684.8,26.2,58.0,4.0,0.0,1,0,1000.75,82.72,118.7,80.42,27.9,58.0,4.0,0.0,1.0,0.0,1000.36,785.46,17
563,33446,9,0.0,0.0,686.8,25.3,61.0,3.0,0.0,1,1,1002.21,0.0,2.0,5.05,26.2,58.0,4.0,0.0,1.0,0.0,1000.75,82.72,20
573,33806,9,52.98,53.73,45.2,24.0,69.0,2.0,0.0,-1,0,1001.02,456.41,45.2,0.0,21.5,84.0,2.0,0.0,-1.0,1.0,999.96,0.0,8
578,33896,9,107.34,109.49,284.2,28.8,57.0,2.0,0.0,1,1,1000.36,954.45,239.0,52.98,24.0,69.0,2.0,0.0,-1.0,0.0,1001.02,456.41,11
583,33986,9,73.01,74.2,546.8,31.1,51.0,1.0,0.0,1,0,997.45,784.3,262.6,107.34,28.8,57.0,2.0,0.0,1.0,1.0,1000.36,954.45,14
588,34076,9,5.33,5.72,665.8,28.0,67.0,4.0,0.0,1,0,997.58,79.7,119.0,73.01,31.1,51.0,1.0,0.0,1.0,0.0,997.45,784.3,17
593,34166,9,0.0,0.0,667.6,26.3,73.0,4.0,0.0,1,1,999.04,0.0,1.8,5.33,28.0,67.0,4.0,0.0,1.0,0.0,997.58,79.7,20
603,34526,9,49.87,50.54,41.8,26.0,70.0,3.0,0.0,0,1,999.83,456.91,41.8,0.0,23.3,83.0,1.0,0.0,-1.0,1.0,998.51,0.0,8
608,34616,9,87.59,89.08,269.2,29.5,57.0,4.0,0.0,1,1,998.37,954.64,227.4,49.87,26.0,70.0,3.0,0.0,0.0,1.0,999.83,456.91,11
613,34706,9,60.46,61.35,529.5,30.0,56.0,4.0,0.0,1,1,996.66,783.11,260.3,87.59,29.5,57.0,4.0,0.0,1.0,1.0,998.37,954.64,14
618,34796,9,5.91,6.43,642.9,28.5,58.0,3.0,0.0,0,1,997.18,76.68,113.4,60.46,30.0,56.0,4.0,0.0,1.0,1.0,996.66,783.11,17
623,34886,9,0.0,0.0,644.7,26.5,64.0,2.0,0.0,1,1,999.17,0.0,1.8,5.91,28.5,58.0,3.0,0.0,0.0,1.0,997.18,76.68,20
633,35246,9,8.8,9.12,9.2,24.3,51.0,3.0,0.0,1,1,1002.08,457.38,9.2,0.0,24.4,62.0,3.0,0.0,1.0,1.0,999.3,0.0,8
638,35336,9,12.9,13.17,59.2,25.7,50.0,2.0,0.0,1,1,1002.08,954.79,50.0,8.8,24.3,51.0,3.0,0.0,1.0,1.0,1002.08,457.38,11
643,35426,9,9.32,9.58,108.8,23.3,74.0,4.0,0.0,1,1,1000.62,781.91,49.6,12.9,25.7,50.0,2.0,0.0,1.0,1.0,1002.08,954.79,14
648,35516,9,2.75,3.21,128.1,23.3,72.0,2.0,0.2,0,1,1001.28,73.69,19.3,9.32,23.3,74.0,4.0,0.0,1.0,1.0,1000.62,781.91,17
653,35606,9,0.0,0.0,129.0,23.1,62.0,4.0,0.2,1,1,1002.87,0.0,0.9,2.75,23.3,72.0,2.0,0.2,0.0,1.0,1001.28,73.69,20
663,35966,9,4.35,4.69,3.9,20.8,70.0,2.0,0.0,-1,1,1004.59,457.8,3.9,0.0,20.6,68.0,3.0,0.0,0.0,1.0,1002.87,0.0,8
668,36056,9,17.23,17.51,62.4,21.1,70.0,2.0,0.0,0,1,1004.59,954.9,58.5,4.35,20.8,70.0,2.0,0.0,-1.0,1.0,1004.59,457.8,11
673,36146,9,13.83,14.26,117.1,21.1,72.0,3.0,0.0,-1,1,1002.47,780.69,54.7,17.23,21.1,70.0,2.0,0.0,0.0,1.0,1004.59,954.9,14
678,36236,9,3.26,3.65,143.7,21.1,72.0,3.0,0.0,0,1,1002.74,70.7,26.6,13.83,21.1,72.0,3.0,0.0,-1.0,1.0,1002.47,780.69,17
683,36326,9,0.0,0.0,144.3,19.6,84.0,3.0,0.5,1,1,1004.06,0.0,0.6,3.26,21.1,72.0,3.0,0.0,0.0,1.0,1002.74,70.7,20
693,36686,9,3.95,4.37,2.2,17.9,95.0,1.0,16.0,-1,0,1004.32,458.18,2.2,0.0,17.6,95.0,2.0,8.0,-1.0,1.0,1002.87,0.0,8
703,36896,9,0.0,0.0,442.3,18.0,88.0,3.0,0.0,1,1,1004.72,0.0,0.1,0.87,19.7,82.0,4.0,0.0,1.0,0.0,1001.15,1.25,20
713,37256,9,2.95,3.34,0.5,11.7,96.0,2.0,2.0,1,0,1009.21,354.85,0.5,0.0,13.0,89.0,3.0,0.0,1.0,0.0,1006.7,0.0,8
718,37346,9,24.02,24.41,27.4,13.2,86.0,1.0,2.0,1,-1,1010.27,881.82,26.9,2.95,11.7,96.0,2.0,2.0,1.0,0.0,1009.21,354.85,11
723,37436,9,23.46,23.87,154.0,14.1,77.0,3.0,2.0,1,-1,1008.82,727.92,126.6,24.02,13.2,86.0,1.0,2.0,1.0,-1.0,1010.27,881.82,14
728,37526,9,0.06,0.48,187.8,13.6,71.0,2.0,2.0,1,0,1010.01,1.41,33.8,23.46,14.1,77.0,3.0,2.0,1.0,-1.0,1008.82,727.92,17
733,37616,9,0.0,0.0,187.8,12.8,69.0,4.0,0.0,1,1,1011.86,0.0,0.0,0.06,13.6,71.0,2.0,2.0,1.0,0.0,1010.01,1.41,20
743,37976,9,5.38,5.71,2.4,11.0,75.0,0.0,0.0,-1,1,1013.71,352.32,2.4,0.0,9.9,77.0,2.0,0.0,1.0,0.0,1012.26,0.0,8
748,38066,9,24.56,24.91,48.2,13.5,71.0,1.0,0.0,-1,-1,1013.18,880.98,45.8,5.38,11.0,75.0,0.0,0.0,-1.0,1.0,1013.71,352.32,11
753,38156,9,33.43,33.89,158.0,16.4,60.0,2.0,0.0,-1,-1,1010.14,728.92,109.8,24.56,13.5,71.0,1.0,0.0,-1.0,-1.0,1013.18,880.98,14
758,38246,9,0.73,1.23,208.4,15.7,66.0,0.0,0.0,0,0,1009.48,1.6,50.4,33.43,16.4,60.0,2.0,0.0,-1.0,-1.0,1010.14,728.92,17
763,38336,9,0.0,0.0,208.5,15.5,72.0,0.0,0.0,0,0,1010.27,0.0,0.1,0.73,15.7,66.0,0.0,0.0,0.0,0.0,1009.48,1.6,20
773,38696,9,22.01,22.44,8.0,16.3,80.0,2.0,0.0,-1,0,1009.08,349.83,8.0,0.0,15.3,81.0,1.0,0.0,-1.0,-1.0,1008.42,0.0,8
778,38786,9,32.88,33.32,82.1,20.6,69.0,2.0,0.0,-1,0,1008.69,880.22,74.1,22.01,16.3,80.0,2.0,0.0,-1.0,0.0,1009.08,349.83,11
783,38876,9,59.6,60.4,225.8,24.3,63.0,3.0,0.0,1,0,1005.25,730.01,143.7,32.88,20.6,69.0,2.0,0.0,-1.0,0.0,1008.69,880.22,14
788,38966,9,0.66,1.18,302.1,20.4,84.0,2.0,0.0,1,1,1004.72,1.83,76.3,59.6,24.3,63.0,3.0,0.0,1.0,0.0,1005.25,730.01,17
793,39056,9,0.0,0.0,302.2,18.2,91.0,1.0,0.0,1,1,1005.38,0.0,0.1,0.66,20.4,84.0,2.0,0.0,1.0,1.0,1004.72,1.83,20
803,39416,9,3.54,4.06,1.7,17.0,99.0,1.0,0.0,-1,0,1003.53,347.4,1.7,0.0,16.8,98.0,1.0,0.0,-1.0,0.0,1002.34,0.0,8
808,39506,9,24.79,25.12,42.1,18.3,97.0,1.0,0.0,0,-1,1002.74,879.53,40.4,3.54,17.0,99.0,1.0,0.0,-1.0,0.0,1003.53,347.4,11
813,39596,9,25.63,25.97,136.5,20.5,84.0,3.0,0.0,1,0,1000.49,731.19,94.4,24.79,18.3,97.0,1.0,0.0,0.0,-1.0,1002.74,879.53,14
818,39686,9,0.0,0.07,154.8,16.8,94.0,4.0,0.0,1,0,1003.53,2.09,18.3,25.63,20.5,84.0,3.0,0.0,1.0,0.0,1000.49,731.19,17
823,39776,9,0.0,0.0,154.8,13.5,97.0,4.0,0.4,1,0,1006.97,0.0,0.0,0.0,16.8,94.0,4.0,0.0,1.0,0.0,1003.53,2.09,20
833,40136,9,5.38,5.71,1.9,6.3,86.0,3.0,10.0,0,1,1015.03,345.17,1.9,0.0,7.0,81.0,2.0,7.0,-1.0,1.0,1013.05,0.0,8
838,40226,9,6.89,7.26,16.3,6.4,78.0,3.0,9.0,-1,1,1017.01,879.04,14.4,5.38,6.3,86.0,3.0,10.0,0.0,1.0,1015.03,345.17,11
843,40316,9,5.11,5.6,43.2,6.6,69.0,2.0,7.0,-1,1,1016.62,732.59,26.9,6.89,6.4,78.0,3.0,9.0,-1.0,1.0,1017.01,879.04,14
848,40406,9,0.01,0.14,53.5,5.9,67.0,2.0,4.0,0,1,1018.2,2.41,10.3,5.11,6.6,69.0,2.0,7.0,-1.0,1.0,1016.62,732.59,17
853,40496,9,0.0,0.0,53.5,5.3,61.0,2.0,0.6,-1,1,1020.19,0.0,0.0,0.01,5.9,67.0,2.0,4.0,0.0,1.0,1018.2,2.41,20
863,40856,9,12.81,13.1,4.5,3.7,46.0,3.0,0.1,-1,1,1022.57,343.13,4.5,0.0,3.7,47.0,2.0,0.1,0.0,1.0,1020.98,0.0,8
868,40946,9,109.88,112.12,77.9,5.1,42.0,3.0,0.0,0,1,1022.3,878.75,73.4,12.81,3.7,46.0,3.0,0.1,-1.0,1.0,1022.57,343.13,11
873,41036,9,27.33,27.76,167.6,6.2,44.0,3.0,0.0,1,1,1019.53,734.21,89.7,109.88,5.1,42.0,3.0,0.0,0.0,1.0,1022.3,878.75,14
878,41126,9,0.59,1.03,204.3,5.6,50.0,3.0,0.0,1,0,1019.66,2.8,36.7,27.33,6.2,44.0,3.0,0.0,1.0,1.0,1019.53,734.21,17
883,41216,9,0.0,0.0,204.3,5.1,46.0,4.0,0.0,1,1,1020.72,0.0,0.0,0.59,5.6,50.0,3.0,0.0,1.0,0.0,1019.66,2.8,20
893,41576,9,0.63,1.02,0.2,4.5,90.0,1.0,1.0,-1,1,1017.41,341.16,0.2,0.0,3.0,92.0,2.0,1.0,-1.0,1.0,1017.15,0.0,8
898,41666,9,5.24,5.56,13.0,5.5,95.0,2.0,2.0,-1,0,1015.82,878.54,12.8,0.63,4.5,90.0,1.0,1.0,-1.0,1.0,1017.41,341.16,11
903,41756,9,8.52,8.75,35.5,7.0,96.0,2.0,1.0,-1,-1,1012.65,735.91,22.5,5.24,5.5,95.0,2.0,2.0,-1.0,0.0,1015.82,878.54,14
908,41846,9,0.02,0.13,45.8,7.6,98.0,2.0,1.0,-1,0,1012.26,3.25,10.3,8.52,7.0,96.0,2.0,1.0,-1.0,-1.0,1012.65,735.91,17
