,T,U,Ff,RRR,DD_WE,DD_NS,POA,Po(p),hour,T_b,U_b,Ff_b,RRR_b,DD_WE_b,DD_NS_b,POA_b,Po(p)_b,device_id,cc_diff
1765,11.7,36.0,3.0,0.0,1,0,841.86,1016.75,14,11.7,32.0,2.0,0.0,0.0,1.0,921.49,1019.26,6,178.2
2139,14.7,54.0,1.0,0.0,-1,-1,948.19,1018.34,11,6.4,77.0,3.0,0.0,-1.0,0.0,349.56,1018.6,10,133.8
1585,13.7,51.0,4.0,0.0,1,1,911.8,1013.45,11,10.1,63.0,2.0,0.0,1.0,1.0,322.75,1013.05,6,106.6
1933,8.5,89.0,0.0,0.1,0,1,335.16,1010.27,8,8.4,94.0,2.0,0.1,1.0,1.0,0.0,1009.08,9,1.9
1871,14.3,93.0,3.0,0.0,1,0,133.12,1006.17,17,19.1,79.0,5.0,0.0,1.0,0.0,850.86,1003.79,7,17.2
340,28.1,80.0,4.0,0.0,1,0,0.0,1000.62,20,29.5,73.0,3.0,0.0,1.0,0.0,97.9,998.77,6,2.2
1347,9.5,73.0,3.0,0.0,1,0,55.97,1008.69,17,13.0,57.0,2.0,0.0,1.0,-1.0,798.65,1008.55,8,58.3
397,26.7,81.0,2.0,0.0,-1,-1,454.68,999.56,8,24.9,90.0,2.0,0.0,-1.0,0.0,0.0,998.77,8,27.3
649,20.4,84.0,2.0,0.0,1,1,1.83,1004.72,17,24.3,63.0,3.0,0.0,1.0,0.0,730.01,1005.25,10,64.2
1979,8.8,78.0,2.0,0.0,1,0,0.0,1014.11,20,9.3,80.0,2.0,0.0,1.0,0.0,145.44,1012.26,10,0.6
1285,16.2,61.0,2.0,0.0,-1,-1,894.41,1006.44,11,10.4,79.0,2.0,0.0,-1.0,0.0,320.2,1007.5,6,109.7
375,31.6,60.0,1.0,0.0,1,1,953.19,1001.94,11,27.9,72.0,3.0,0.0,0.0,1.0,454.03,1002.47,6,152.7
1839,16.7,84.0,1.0,0.1,-1,-1,926.33,1009.48,11,11.7,99.0,1.0,0.1,-1.0,0.0,329.76,1009.88,10,48.8
470,24.0,69.0,2.0,0.0,-1,0,456.41,1001.02,8,21.5,84.0,2.0,0.0,-1.0,1.0,0.0,999.96,6,32.6
1233,7.8,93.0,1.0,0.0,-1,-1,320.11,1015.43,8,7.6,94.0,1.0,0.0,-1.0,-1.0,0.0,1013.18,9,5.7
34,31.5,67.0,4.0,0.0,1,-1,800.61,996.66,14,32.0,58.0,1.0,0.0,-1.0,1.0,943.0,998.24,10,224.2
633,16.3,80.0,2.0,0.0,-1,0,349.83,1009.08,8,15.3,81.0,1.0,0.0,-1.0,-1.0,0.0,1008.42,9,8.0
2128,9.7,65.0,1.0,0.0,1,1,0.0,1017.81,20,14.0,41.0,3.0,0.0,1.0,0.0,162.03,1016.22,9,2.5
1488,14.6,58.0,2.0,0.0,-1,0,907.48,1012.12,11,8.6,75.0,2.0,0.0,-1.0,0.0,322.92,1013.31,9,109.8
942,15.4,47.0,1.0,0.0,0,-1,752.54,1014.24,14,9.8,56.0,2.0,0.0,-1.0,-1.0,879.78,1017.81,8,171.4
1458,7.8,76.0,1.0,0.0,-1,1,323.25,1017.68,8,7.3,70.0,2.0,0.0,1.0,1.0,0.0,1016.49,9,7.6
2174,17.6,66.0,3.0,0.0,1,1,167.0,1008.69,17,22.4,51.0,2.0,0.0,1.0,0.0,875.46,1009.08,10,116.5
1319,17.1,21.0,4.0,0.0,-1,1,795.41,1008.55,14,15.5,38.0,3.0,0.0,-1.0,1.0,896.02,1010.01,10,158.4
1837,16.7,84.0,1.0,0.1,-1,-1,926.33,1009.48,11,11.7,99.0,1.0,0.1,-1.0,0.0,329.76,1009.88,8,50.2
2036,5.5,81.0,3.0,0.8,0,1,940.6,1012.39,11,5.3,81.0,1.0,0.5,1.0,1.0,341.82,1011.46,7,32.5
2352,12.5,98.0,1.0,0.0,1,-1,0.0,1004.32,20,13.5,96.0,2.0,0.0,1.0,0.0,176.91,1002.6,8,0.5
1307,13.1,58.0,1.0,0.0,-1,1,320.41,1009.61,8,11.2,89.0,1.0,0.0,0.0,1.0,0.0,1007.63,8,3.8
1234,7.8,93.0,1.0,0.0,-1,-1,320.11,1015.43,8,7.6,94.0,1.0,0.0,-1.0,-1.0,0.0,1013.18,10,4.0
1646,3.3,45.0,3.0,0.0,-1,0,102.53,1020.19,17,3.8,42.0,3.0,0.1,-1.0,0.0,830.43,1019.53,7,13.2
158,32.0,64.0,3.0,0.0,1,-1,797.26,996.13,14,31.5,61.0,1.0,0.0,-1.0,-1.0,947.66,998.24,9,231.1
1659,0.6,55.0,1.0,0.0,1,1,323.79,1022.3,8,-1.5,71.0,1.0,0.0,-1.0,1.0,0.0,1021.11,10,0.0
2278,13.1,84.0,1.0,0.0,1,0,0.0,1005.12,20,13.4,72.0,3.0,0.0,1.0,1.0,173.61,1004.32,9,1.1
1787,10.1,56.0,1.0,0.0,-1,1,923.07,1016.35,11,8.0,60.0,2.0,0.0,-1.0,0.0,327.57,1017.01,8,19.6
456,27.9,58.0,4.0,0.0,1,0,785.46,1000.36,14,27.8,50.0,2.0,0.0,1.0,1.0,954.2,1002.47,7,255.2
186,30.3,74.0,4.0,0.0,1,0,115.87,998.24,17,32.6,63.0,4.0,0.0,1.0,-1.0,796.47,997.58,7,114.2
1385,15.3,44.0,1.0,0.0,-1,-1,901.29,1011.33,11,7.9,75.0,3.0,0.0,-1.0,0.0,321.67,1011.07,6,123.9
1926,10.8,91.0,2.0,0.0,1,1,0.0,1009.61,20,11.6,88.0,2.0,0.0,1.0,0.0,139.4,1007.89,7,0.6
1328,9.3,71.0,1.0,0.0,0,-1,0.0,1011.33,20,11.4,63.0,3.0,0.0,1.0,0.0,51.88,1009.88,9,0.4
11,28.6,75.0,5.0,0.0,1,0,136.03,996.39,17,31.2,63.0,3.0,0.0,1.0,-1.0,801.45,995.86,7,123.9
1155,5.6,76.0,1.0,0.0,-1,0,320.76,1013.71,8,5.3,77.0,2.0,0.0,-1.0,0.0,0.0,1012.12,6,5.1
660,18.3,97.0,1.0,0.0,0,-1,879.53,1002.74,11,17.0,99.0,1.0,0.0,-1.0,0.0,347.4,1003.53,6,37.8
783,6.7,71.0,1.0,0.5,1,1,337.44,1016.62,8,6.4,75.0,1.0,0.7,-1.0,1.0,0.0,1015.3,9,2.2
