,T,U,Ff,RRR,DD_WE,DD_NS,POA,Po(p),hour,T_b,U_b,Ff_b,RRR_b,DD_WE_b,DD_NS_b,POA_b,Po(p)_b,device_id,cc_diff
1679,3.8,58.0,1.0,0.0,1,1,0.0,1019.39,20,4.3,52.0,3.0,0.0,1.0,0.0,106.07,1018.6,10,0.4
280,31.4,69.0,4.0,0.0,1,-1,792.91,998.24,14,32.1,64.0,3.0,0.0,1.0,0.0,951.19,999.96,6,209.4
1009,10.9,94.0,1.0,0.0,1,1,324.86,1014.24,8,12.3,86.0,1.0,0.0,-1.0,-1.0,0.0,1013.18,10,4.8
802,5.4,66.0,2.0,0.0,-1,1,0.0,1017.81,20,7.4,61.0,1.0,0.0,-1.0,0.0,4.39,1016.22,8,0.1
1550,14.4,86.0,1.0,0.0,1,-1,0.0,1007.1,20,14.9,84.0,0.0,0.0,0.0,0.0,88.18,1005.91,6,0.1
1602,10.3,59.0,3.0,0.0,1,1,0.0,1015.3,20,11.4,60.0,2.0,0.0,1.0,1.0,95.38,1013.45,8,0.1
53,29.0,78.0,1.0,0.0,-1,-1,944.02,999.3,11,27.8,84.0,0.0,0.0,-1.0,1.0,443.11,999.04,9,103.7
1890,10.3,97.0,1.0,3.0,1,-1,853.07,1010.14,14,9.6,98.0,1.0,4.0,1.0,-1.0,929.74,1012.12,6,46.5
1972,9.3,80.0,2.0,0.0,1,0,145.44,1012.26,17,10.8,74.0,3.0,0.0,1.0,-1.0,859.56,1009.88,8,48.7
350,31.8,60.0,2.0,0.0,-1,1,952.76,1001.55,11,27.8,77.0,1.0,0.0,-1.0,1.0,453.35,1002.21,6,149.9
1930,8.5,89.0,0.0,0.1,0,1,335.16,1010.27,8,8.4,94.0,2.0,0.1,1.0,1.0,0.0,1009.08,6,1.6
79,32.3,60.0,1.0,0.0,0,-1,944.99,998.77,11,26.9,80.0,1.0,0.0,-1.0,-1.0,444.08,999.17,10,170.5
1859,14.8,100.0,1.0,0.0,-1,-1,330.98,1005.78,8,14.6,99.0,1.0,0.0,-1.0,-1.0,0.0,1005.12,10,3.1
1544,15.5,80.0,2.0,0.0,1,-1,821.34,1005.78,14,14.5,83.0,1.0,0.0,1.0,-1.0,909.52,1008.69,10,57.7
