,id,device_id,active_power,direct_power,charge_capacity,T,U,Ff,RRR,DD_WE,DD_NS,POA,Po(p)
457,28315,8,4.93,5.17,501.9,29.6,76.0,3.0,0,1,0,103.94356266743685,998.9
458,28316,9,5.39,5.65,650.3,29.6,76.0,3.0,0,1,0,103.94356266743685,998.9
459,28317,10,8.51,8.79,473.1,29.6,76.0,3.0,0,1,0,103.94356266743685,998.9
480,28763,6,32.58,33.03,28.2,28.5,73.0,0.0,0,-1,0,451.89294172823014,1001.55
481,28764,7,33.46,33.88,28.4,28.5,73.0,0.0,0,-1,0,451.89294172823014,1001.55
482,28765,8,34.02,34.47,30.2,28.5,73.0,0.0,0,-1,0,451.89294172823014,1001.55
483,28766,9,48.74,49.46,41.5,28.5,73.0,0.0,0,-1,0,451.89294172823014,1001.55
484,28767,10,26.3,26.66,23.1,28.5,73.0,0.0,0,-1,0,451.89294172823014,1001.55
485,28853,6,70.72,71.89,178.8,31.9,61.0,0.0,0,0,0,951.7629737767057,1000.75
486,28854,7,70.42,71.59,179.9,31.9,61.0,0.0,0,0,0,951.7629737767057,1000.75
487,28855,8,70.46,71.7,182.8,31.9,61.0,0.0,0,0,0,951.7629737767057,1000.75
488,28856,9,90.8,92.4,243.3,31.9,61.0,0.0,0,0,0,951.7629737767057,1000.75
489,28857,10,63.65,64.7,156.3,31.9,61.0,0.0,0,0,0,951.7629737767057,1000.75
490,28943,6,60.97,61.86,390.9,30.6,69.0,1.5,0,0,0,791.9383642086943,1000.09
491,28944,7,61.3,62.22,396.6,30.6,69.0,1.5,0,0,0,791.9383642086943,1000.09
492,28945,8,61.36,62.25,396.0,30.6,69.0,1.5,0,0,0,791.9383642086943,1000.09
493,28946,9,73.07,74.27,508.0,30.6,69.0,1.5,0,0,0,791.9383642086943,1000.09
494,28947,10,58.86,59.72,352.8,30.6,69.0,1.5,0,0,0,791.9383642086943,1000.09
495,29033,6,5.32,5.6,482.8,29.2,77.0,3.0,0,1,0,100.92621821296974,999.43
496,29034,7,5.14,5.56,487.7,29.2,77.0,3.0,0,1,0,100.92621821296974,999.43
497,29035,8,4.76,5.08,478.3,29.2,77.0,3.0,0,1,0,100.92621821296974,999.43
498,29036,9,7.0,7.35,616.1,29.2,77.0,3.0,0,1,0,100.92621821296974,999.43
499,29037,10,7.76,8.01,450.8,29.2,77.0,3.0,0,1,0,100.92621821296974,999.43
520,29483,6,34.19,34.76,28.0,28.4,72.0,2.0,0,0,1,452.6357489947977,1001.15
521,29484,7,34.28,34.71,27.7,28.4,72.0,2.0,0,0,1,452.6357489947977,1001.15
522,29485,8,34.59,35.03,29.5,28.4,72.0,2.0,0,0,1,452.6357489947977,1001.15
523,29486,9,49.88,50.5,42.0,28.4,72.0,2.0,0,0,1,452.6357489947977,1001.15
524,29487,10,26.85,27.24,20.9,28.4,72.0,2.0,0,0,1,452.6357489947977,1001.15
525,29573,6,17.07,17.54,187.3,30.5,63.0,2.0,0,-1,1,952.2864519349198,1000.36
526,29574,7,50.15,53.43,190.0,30.5,63.0,2.0,0,-1,1,952.2864519349198,1000.36
527,29575,8,20.5,21.03,190.7,30.5,63.0,2.0,0,-1,1,952.2864519349198,1000.36
528,29576,9,34.1,34.68,260.1,30.5,63.0,2.0,0,-1,1,952.2864519349198,1000.36
529,29577,10,15.6,16.0,161.4,30.5,63.0,2.0,0,-1,1,952.2864519349198,1000.36
530,29663,6,61.26,62.24,389.6,30.6,66.0,3.0,0,1,-1,790.9300841614231,998.64
531,29664,7,61.06,61.95,396.7,30.6,66.0,3.0,0,1,-1,790.9300841614231,998.64
532,29665,8,61.05,61.88,396.4,30.6,66.0,3.0,0,1,-1,790.9300841614231,998.64
533,29666,9,73.96,75.18,512.8,30.6,66.0,3.0,0,1,-1,790.9300841614231,998.64
534,29667,10,59.52,60.43,352.7,30.6,66.0,3.0,0,1,-1,790.9300841614231,998.64
